BL_ID;BL;AGS;Name;Total;Male;Female;;
01;Schleswig-Holstein;01051098;Sarzbüttel;  730;  367;  363;;
01;Schleswig-Holstein;01051099;Schafstedt; 1 355;  683;  672;;
01;Schleswig-Holstein;01051100;Schalkholz;  597;  295;  302;;
01;Schleswig-Holstein;01051102;Schlichting;  224;  115;  109;;
01;Schleswig-Holstein;01051103;Schmedeswurth;  195;  104;  91;;
01;Schleswig-Holstein;01051104;Schrum;  79;  42;  37;;
01;Schleswig-Holstein;01051105;Schülp;  475;  243;  232;;
01;Schleswig-Holstein;01051107;Stelle-Wittenwurth;  458;  213;  245;;
01;Schleswig-Holstein;01051108;Strübbel;  87;  41;  46;;
01;Schleswig-Holstein;01051109;Süderdeich;  472;  231;  241;;
01;Schleswig-Holstein;01051110;Süderhastedt;  860;  426;  434;;
01;Schleswig-Holstein;01051113;Wöhrden; 1 308;  657;  651;;
01;Schleswig-Holstein;01051114;Tellingstedt; 2 629; 1 288; 1 341;;
01;Schleswig-Holstein;01051117;Tielenhemme;  163;  78;  85;;
01;Schleswig-Holstein;01051118;Trennewurth;  259;  137;  122;;
01;Schleswig-Holstein;01051119;Volsemenhusen;  349;  180;  169;;
01;Schleswig-Holstein;01051120;Wallen;  33;  18;  15;;
01;Schleswig-Holstein;01051121;Warwerort;  244;  122;  122;;
01;Schleswig-Holstein;01051122;Weddingstedt; 2 295; 1 130; 1 165;;
01;Schleswig-Holstein;01051125;Welmbüttel;  457;  219;  238;;
01;Schleswig-Holstein;01051126;Wennbüttel;  91;  42;  49;;
01;Schleswig-Holstein;01051127;Wesselburen, Stadt; 3 025; 1 439; 1 586;;
01;Schleswig-Holstein;01051128;Wesselburener Deichhausen;  125;  62;  63;;
01;Schleswig-Holstein;01051129;Wesselburenerkoog;  147;  80;  67;;
01;Schleswig-Holstein;01051130;Wesseln; 1 402;  710;  692;;
01;Schleswig-Holstein;01051131;Westerborstel;  116;  56;  60;;
01;Schleswig-Holstein;01051132;Westerdeichstrich;  840;  406;  434;;
01;Schleswig-Holstein;01051133;Wiemerstedt;  159;  78;  81;;
01;Schleswig-Holstein;01051134;Windbergen;  820;  420;  400;;
01;Schleswig-Holstein;01051135;Wolmersdorf;  338;  171;  167;;
01;Schleswig-Holstein;01051136;Wrohm;  683;  355;  328;;
01;Schleswig-Holstein;01051137;Nordermeldorf;  604;  315;  289;;
