GENESIS-Tabelle: 449-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2012;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
05378012;Kürten;6729;1155;633;437;21;5;154;51;5;359;330;3150;0;0;2220;197;0;7;4
05378016;Leichlingen (Rhld.);3726;1026;702;478;36;6;60;39;5;252;226;1700;0;0;933;61;0;6;4
05378020;Odenthal;3987;641;446;346;2;1;22;17;4;167;166;1491;0;0;1762;91;0;2;1
05378024;Overath;6888;1450;848;536;68;26;108;43;9;460;374;3031;0;0;2311;75;0;20;19
05378028;Rösrath;3880;1016;710;511;25;7;43;33;8;248;207;977;0;122;1843;22;1;22;21
05378032;Wermelskirchen;7480;1489;942;587;97;12;127;103;17;392;358;2601;0;0;3094;279;0;17;7
05382004;Alfter;3478;713;475;307;26;30;32;15;2;174;153;1267;0;0;1422;10;44;23;23
05382008;Bad Honnef;4817;1081;647;407;35;17;61;51;2;355;298;894;0;0;2701;123;6;12;11
05382012;Bornheim, Rheinl;8269;1813;1051;618;58;57;127;34;7;570;521;4549;0;0;1622;131;114;40;38
05382016;Eitorf;6990;1323;646;419;47;12;121;37;10;534;491;2072;0;0;3467;122;2;4;2
05382020;Hennef (Sieg);10589;2347;1262;778;63;38;179;88;12;856;809;5484;0;0;2459;246;43;11;8
05382024;Königswinter;7617;2111;1199;738;67;24;142;117;15;732;563;3144;0;0;2127;163;55;18;12
05382028;Lohmar;6562;1518;866;586;37;12;134;34;3;503;466;2853;0;0;2096;91;1;4;2
05382032;Meckenheim, Rheinl;3484;1001;600;287;92;16;40;32;1;345;319;1795;0;0;652;29;0;6;3
05382036;Much;7806;1328;629;384;19;8;87;13;4;599;587;4717;0;0;1623;133;3;1;1
05382040;Neunkirchen-Seelscheid;5062;1122;642;449;16;16;46;35;5;413;391;2401;0;0;1368;169;0;2;1
05382044;Niederkassel;3579;1087;716;439;72;28;90;31;4;248;227;1955;0;0;112;253;148;24;22
05382048;Rheinbach;6972;1282;702;386;52;16;49;36;3;512;494;3738;0;0;1866;56;26;6;4
05382052;Ruppichteroth;6196;788;425;267;25;5;28;21;1;329;327;2375;0;0;2919;108;4;3;3
05382056;Sankt Augustin;3422;1907;1123;682;47;66;123;56;9;586;409;1028;0;0;376;49;17;45;44
05382060;Siegburg;2346;1112;744;428;43;8;54;38;18;287;262;454;0;0;635;139;2;3;2
05382064;Swisttal;6222;973;522;294;12;20;40;16;1;389;371;4077;0;0;1011;54;49;59;56
05382068;Troisdorf;6220;2511;1637;748;358;73;129;95;5;667;461;1789;0;454;1701;151;42;27;25
05382072;Wachtberg;4968;929;543;366;17;16;40;13;2;328;326;3083;0;0;885;24;30;17;15
05382076;Windeck;10722;1945;885;546;34;15;97;71;6;942;860;3370;0;0;5137;247;18;5;4
05512000;Bottrop, krsfr. Stadt;10061;4417;2369;1269;311;353;564;413;59;1072;928;2926;0;0;2300;228;107;83;74
05513000;Gelsenkirchen, krsfr. Stadt;10494;7831;4533;1989;1145;429;1047;792;168;1655;1390;1495;0;0;815;316;0;37;18
05515000;Münster, krsfr. Stadt;30296;10095;5965;2925;603;111;1313;918;52;2654;2306;13903;0;251;5381;837;0;81;29
05554004;Ahaus;15124;2671;1556;652;208;72;172;80;1;870;819;10056;157;188;2073;294;13;18;13
05554008;Bocholt;11940;3244;1941;915;247;97;301;238;26;878;840;7676;0;1;804;207;2;9;8
05554012;Borken;15297;2745;1571;646;139;85;144;99;2;942;810;9960;3;0;2262;307;0;22;18
05554016;Gescher;8084;1286;724;266;69;16;52;35;0;494;397;5704;12;3;920;159;4;11;1
05554020;Gronau (Westf.);7882;2445;1561;767;223;106;147;119;7;624;499;4364;54;1;829;146;66;33;25
05554024;Heek;6943;892;447;155;47;11;17;11;0;417;273;5025;0;1;844;171;6;5;1
05554028;Heiden;5339;703;353;127;24;6;33;17;0;310;270;3342;0;0;1234;53;5;2;0
05554032;Isselburg;4280;765;428;190;46;14;94;52;1;228;208;2863;0;0;530;119;0;4;2
05554036;Legden;5628;689;342;114;25;12;15;10;0;320;258;3874;1;0;969;86;5;5;2
05554040;Raesfeld;5795;779;441;160;29;4;20;13;1;312;282;4099;0;2;854;59;2;3;1
05554044;Reken;7874;1194;589;245;32;68;121;46;1;416;387;4883;21;23;1732;57;0;8;4
05554048;Rhede;7890;1176;670;277;76;11;64;37;2;430;368;5128;24;0;1418;149;12;8;3
05554052;Schöppingen;6881;753;390;104;28;8;15;7;2;338;240;5204;0;0;811;110;0;3;3
05554056;Stadtlohn;7925;1225;758;330;99;21;48;28;0;398;325;4817;3;0;1802;72;3;6;4
05554060;Südlohn;4556;713;443;160;46;11;19;12;0;239;225;3101;0;0;686;53;0;3;1
05554064;Velen, Stadt;7075;930;532;191;36;14;39;18;0;345;335;4660;17;0;1392;68;21;3;2
05554068;Vreden;13583;1905;1165;400;139;19;69;44;1;650;618;9242;91;40;2103;324;3;6;1
05558004;Ascheberg;10632;1319;614;221;49;12;120;41;4;569;495;7674;0;0;1453;176;2;9;6
05558008;Billerbeck;9136;1054;567;187;50;12;45;34;6;423;360;6941;0;0;1057;77;2;4;4
05558012;Coesfeld;14136;2403;1321;556;148;36;220;98;10;816;691;9114;0;6;2380;159;60;20;15
05558016;Dülmen;18483;2766;1523;667;129;42;131;77;21;1049;818;12391;0;0;2973;304;26;23;15
05558020;Havixbeck;5318;684;385;192;23;5;44;26;6;245;200;3788;0;0;788;56;0;2;1
05558024;Lüdinghausen;14054;1764;897;321;64;22;156;109;10;679;487;9443;0;427;2354;415;55;23;17
05558028;Nordkirchen;5241;694;360;163;25;3;93;37;3;235;168;3566;0;0;878;95;0;8;5
05558032;Nottuln;8567;1212;648;313;50;19;64;38;6;474;286;6156;0;0;1047;136;6;9;7
05558036;Olfen;5243;845;397;175;42;14;80;52;5;349;197;3110;0;0;1140;142;0;5;2
05558040;Rosendahl;9448;1024;520;191;59;22;57;40;2;423;284;6708;0;0;1548;146;0;23;20
05558044;Senden, Westf;10945;1405;693;291;53;15;123;98;4;571;344;7070;0;1;2170;285;0;16;12
05562004;Castrop-Rauxel;5167;2728;1651;884;300;132;288;127;35;622;565;1397;0;0;799;197;5;41;17
05562008;Datteln;6609;1565;957;433;131;44;140;66;15;410;357;3323;0;1;1375;315;18;13;3
05562012;Dorsten;17120;3695;1978;952;272;184;232;141;38;1263;1141;8314;0;19;4636;367;50;59;8
05562014;Gladbeck;3591;2274;1350;797;219;165;242;194;38;479;401;884;0;0;345;71;0;17;12
05562016;Haltern am See;15850;2511;1304;586;285;132;162;85;10;904;844;5123;219;185;6943;1019;204;50;8
05562020;Herten;3733;2225;1244;729;166;265;226;122;61;430;377;918;0;2;523;56;0;10;2
05562024;Marl, Westf;8766;3866;2341;1071;604;343;208;133;43;931;797;2808;0;0;1813;226;0;51;1
05562028;Oer-Erkenschwick;3867;975;580;334;85;25;104;59;11;255;252;1101;0;10;1767;22;0;2;1
05562032;Recklinghausen;6643;3740;2203;1259;296;70;386;208;66;1014;890;2334;0;0;467;83;1;20;0
05562036;Waltrop;4700;1244;687;385;64;116;108;70;8;324;277;2584;0;0;603;243;12;14;1
05566004;Altenberge;6296;850;434;168;44;68;25;11;0;323;249;4996;0;0;392;44;3;11;1
05566008;Emsdetten;7206;1676;1115;538;170;44;76;57;0;441;411;4477;56;0;895;152;0;6;1
05566012;Greven, Westf;14026;2522;1386;541;129;40;155;73;2;939;727;8780;0;1;2295;394;10;25;19
05566016;Hörstel;10754;1827;942;456;95;40;93;49;3;749;526;6847;0;2;1601;312;3;164;161
05566020;Hopsten;9982;973;508;162;22;9;41;21;1;414;382;8142;34;24;707;155;0;6;5
05566024;Horstmar;4476;521;288;114;12;3;18;8;1;210;183;3174;0;0;721;56;0;4;4
05566028;Ibbenbüren;10887;3142;1883;1118;145;172;205;135;2;881;711;5361;0;0;2093;180;84;26;18
05566032;Ladbergen;5235;766;381;181;21;31;43;18;0;312;264;3472;0;0;799;192;0;6;6
05566036;Laer;3525;426;260;114;16;7;16;9;1;141;123;2717;0;0;351;28;0;3;0
05566040;Lengerich, Westf;9079;1714;981;521;89;20;86;47;7;620;528;5760;0;0;1227;218;152;8;4
05566044;Lienen;7344;892;504;257;20;13;51;32;0;324;298;4983;0;0;1314;90;65;1;0
05566048;Lotte;3771;929;469;284;39;32;88;18;4;335;260;1795;0;0;951;76;7;13;12
05566052;Metelen;4028;534;283;123;17;5;44;34;0;201;166;2895;0;0;498;100;1;0;0
05566056;Mettingen;4060;857;540;309;36;4;67;48;1;246;228;2629;0;0;505;48;10;10;8
05566060;Neuenkirchen, Kr Steinfurt;4844;925;557;266;46;17;47;22;0;304;275;3280;0;0;523;94;15;8;6
05566064;Nordwalde;5160;595;391;159;42;4;21;13;0;179;154;3784;0;0;735;41;0;6;3
05566068;Ochtrup;10563;1823;1054;354;96;39;55;35;1;674;541;7142;0;0;1401;187;2;7;5
05566072;Recke;5369;876;505;259;28;20;40;22;2;310;255;3802;188;2;529;103;54;6;5
05566076;Rheine;14500;4026;2439;1156;238;75;339;158;17;1156;887;7356;0;0;2770;279;38;30;11
05566080;Saerbeck;5903;633;333;130;25;6;17;9;0;277;239;4173;0;4;899;192;3;3;2
05566084;Steinfurt;11167;1934;1124;544;83;24;109;56;8;669;518;7587;0;0;1500;140;0;6;3
05566088;Tecklenburg;7049;958;498;239;12;3;71;20;1;386;339;4283;0;0;1723;70;7;6;0
05566092;Westerkappeln;8583;1261;631;275;54;27;71;15;3;530;421;5905;0;13;1247;124;3;44;44
05566096;Wettringen, Kr Steinfurt;5769;728;420;141;23;19;36;13;1;252;238;4261;0;5;667;103;9;1;0
05570004;Ahlen;12313;2609;1466;720;191;110;227;189;26;780;621;8294;0;0;1184;186;26;14;4
05570008;Beckum;11146;2096;1201;559;209;41;105;76;16;733;619;7363;0;0;1215;176;171;126;113
05570012;Beelen;3135;513;263;94;23;25;34;27;1;190;147;2387;0;0;161;72;0;3;2
05570016;Drensteinfurt;10660;1161;611;260;29;10;50;33;5;484;417;7846;0;0;1476;167;0;10;6
05570020;Ennigerloh;12556;1674;867;372;99;71;145;59;6;586;498;9261;0;0;1328;182;61;51;47
05570024;Everswinkel;6912;777;373;152;30;14;90;32;2;297;211;4878;0;0;1166;89;0;1;0
05570028;Oelde;10277;1699;990;486;112;29;108;85;10;563;493;6839;2;0;1622;111;1;5;0
05570032;Ostbevern;8965;984;481;163;27;7;55;36;2;439;321;6035;0;4;1755;189;0;2;0
05570036;Sassenberg;7808;1148;578;226;60;25;82;47;4;458;361;5348;0;0;1093;208;8;3;0
05570040;Sendenhorst;9695;971;481;200;47;10;93;70;3;383;261;7671;2;0;872;179;0;2;0
05570044;Telgte;9084;1434;662;303;36;11;177;117;68;516;353;5883;0;4;1549;215;0;2;1
05570048;Wadersloh;11703;1227;676;218;49;8;31;16;7;504;467;9125;0;0;1133;203;2;13;6
05570052;Warendorf;17688;2567;1360;591;103;32;226;129;11;939;766;12214;0;0;2527;372;5;4;0
05711000;Bielefeld, krsfr. Stadt;25882;10916;6916;4051;818;86;1170;968;161;2583;2114;9185;0;21;5555;196;7;23;9
05754004;Borgholzhausen;5599;792;440;204;54;17;24;18;3;308;267;3335;0;0;1415;39;7;11;7
05754008;Gütersloh;11202;4387;2841;1478;282;103;264;162;30;1149;855;5918;0;4;778;98;4;17;10
05754012;Halle (Westf.);6970;1407;799;412;106;49;132;41;11;415;384;4277;4;1;1183;35;62;6;4
05754016;Harsewinkel;10059;1573;865;398;122;28;146;58;8;528;450;6583;0;0;1592;290;15;5;2
05754020;Herzebrock-Clarholz;7928;1134;695;258;113;27;35;20;6;371;348;5625;0;2;988;164;14;3;2
05754024;Langenberg;3831;573;349;153;31;11;22;16;2;189;178;2917;0;0;259;80;0;2;1
05754028;Rheda-Wiedenbrück;8672;2271;1389;684;217;61;100;73;10;711;535;4962;0;0;1256;173;1;9;2
05754032;Rietberg;11031;2110;1283;494;174;32;187;113;8;600;487;8103;0;0;469;330;14;6;1
05754036;Schloß Holte-Stukenbrock;6752;1543;1004;508;114;19;68;28;9;443;368;2274;1;14;2515;51;52;318;310
05754040;Steinhagen, Westf;5641;1130;699;393;76;24;82;61;7;319;299;3356;0;1;1080;46;13;16;14
05754044;Verl, Stadt;7137;1511;1012;438;133;23;50;28;7;419;377;5120;0;0;439;57;2;8;6
05754048;Versmold;8557;1580;809;380;76;21;280;179;7;463;354;5990;0;0;773;207;0;7;6
05754052;Werther (Westf.);3542;643;388;187;39;13;59;45;3;180;155;2289;0;0;576;25;0;9;7
05758004;Bünde;5930;2204;1491;901;145;41;43;20;26;604;564;3390;0;0;252;58;16;9;7
05758008;Enger;4124;1079;693;409;63;17;53;13;10;306;305;2757;0;0;234;25;26;3;1
05758012;Herford;7916;2902;1921;1049;249;86;130;87;47;718;657;4171;0;0;724;86;18;14;10
05758016;Hiddenhausen;2387;968;663;439;66;8;33;21;12;253;231;1203;0;0;187;21;0;7;6
05758020;Kirchlengern;3378;1016;672;379;69;30;21;15;6;287;261;2061;0;0;244;49;0;9;7
05758024;Löhne;5951;2181;1445;868;167;40;105;52;20;572;481;3351;0;0;332;75;5;7;3
05758028;Rödinghausen;3627;797;485;239;54;10;24;18;6;273;241;2298;0;0;501;27;1;2;0
05758032;Spenge;4035;821;542;322;47;6;45;36;5;222;182;2794;0;0;356;41;16;7;5
05758036;Vlotho;7693;1496;944;471;95;17;82;20;8;445;401;5011;0;4;1051;112;6;17;14
05762004;Bad Driburg;11530;1403;704;334;50;24;98;51;9;569;510;5098;0;0;4943;69;1;16;13
05762008;Beverungen;9809;1162;550;262;46;32;56;29;8;516;437;4997;0;0;3411;213;18;8;7
05762012;Borgentreich;13894;1090;490;192;31;15;28;8;6;552;535;11157;0;0;1539;88;1;19;17
05762016;Brakel;17392;1464;675;294;59;13;57;34;8;712;676;9774;0;0;6038;103;5;8;6
05762020;Höxter;15816;1973;1013;565;76;29;107;69;16;808;706;7070;0;0;6347;367;23;36;33
05762024;Marienmünster;6436;633;265;114;32;19;28;19;3;317;314;4556;0;0;1171;49;18;10;9
05762028;Nieheim;7971;731;306;134;26;13;26;13;3;383;368;5392;0;0;1764;70;7;7;7
05762032;Steinheim;7569;1057;568;251;108;25;32;15;5;427;358;4745;0;0;1698;64;2;4;2
05762036;Warburg;16884;2008;962;455;116;56;73;31;14;903;788;9728;0;0;4901;159;21;67;64
05762040;Willebadessen;12841;972;390;164;16;10;36;23;6;531;474;8241;0;0;3524;81;6;18;17
05766004;Augustdorf;4218;661;433;164;36;4;19;16;4;201;182;1411;0;393;2078;7;35;26;8
05766008;Bad Salzuflen;10005;2596;1647;902;188;74;207;116;30;638;587;5740;0;0;1528;109;9;24;18
05766012;Barntrup;5946;696;364;185;36;7;45;37;6;273;245;3395;0;0;1771;26;53;5;4
05766016;Blomberg, Lippe;9910;1291;582;309;64;19;163;104;10;516;380;5921;0;0;2641;52;0;6;2
05766020;Detmold;12939;3382;2073;1301;128;46;390;335;36;837;668;5192;0;13;4250;82;25;8;3
05766024;Dörentrup;4979;608;360;207;27;26;36;24;6;181;165;3064;0;0;1281;21;1;4;2
05766028;Extertal;9249;1007;593;296;40;6;51;19;9;348;334;5934;0;0;2230;60;10;8;6
05766032;Horn-Bad Meinberg;9015;1291;669;373;58;27;136;116;13;445;355;4201;6;14;3432;72;1;17;16
05766036;Kalletal;11242;1283;652;340;49;11;107;62;11;502;497;6513;0;0;3190;171;47;38;35
05766040;Lage, Lippe;7604;1794;1092;665;105;26;213;132;19;445;346;4309;0;0;1306;152;39;4;1
05766044;Lemgo;10085;2088;1292;751;125;35;190;158;27;543;438;5649;0;0;2254;78;6;10;5
05766048;Leopoldshöhe;3693;865;579;331;65;11;73;60;5;197;157;2463;0;0;331;28;0;7;2
05766052;Lügde;8864;978;421;209;54;17;107;32;8;426;409;4421;0;0;3386;62;4;13;12
05766056;Oerlinghausen;3269;861;448;302;33;7;139;117;7;260;159;765;0;13;1601;21;11;10;6
05766060;Schieder-Schwalenberg;6004;720;323;190;31;19;95;83;3;279;208;2365;0;0;2795;123;1;1;0
05766064;Schlangen;7597;732;321;188;19;7;39;29;7;358;320;2886;0;828;3945;23;1;9;9
05770004;Bad Oeynhausen;6483;2539;1637;996;173;28;172;130;25;677;636;3281;0;1;537;112;0;14;10
05770008;Espelkamp;8421;1699;993;554;112;24;74;46;13;596;563;5270;7;0;1233;207;4;8;5
05770012;Hille;10299;1642;930;520;50;23;47;26;12;631;617;7561;86;1;831;235;26;4;1
05770016;Hüllhorst;4470;933;600;379;63;6;24;10;7;296;294;2884;0;0;585;42;17;9;6
05770020;Lübbecke;6504;1505;992;580;135;19;60;33;15;419;398;3535;227;0;1357;93;6;8;5
05770024;Minden, Westf;10112;3963;2577;1570;216;88;205;156;64;1030;918;5120;0;0;495;442;20;72;63
05770028;Petershagen;21194;3012;1500;796;77;48;111;71;23;1331;1195;14440;0;0;2580;1029;92;41;38
05770032;Porta Westfalica;10522;2615;1562;993;131;47;141;88;20;845;723;5433;0;0;1735;394;212;133;124
05770036;Preußisch Oldendorf;6875;1037;608;327;67;26;29;17;6;368;349;4313;0;0;1340;183;0;3;2
05770040;Rahden;13748;1798;1022;388;58;15;60;43;9;691;658;10772;0;0;746;427;0;5;0
05770044;Stemwede;16613;1928;1010;376;63;18;52;28;10;839;826;12484;167;0;1806;385;0;9;6
05774004;Altenbeken;7622;777;306;191;22;4;40;33;4;424;301;2582;0;0;4239;19;4;0;0
05774008;Bad Lippspringe;5101;804;369;193;37;2;133;76;10;290;205;2272;0;548;1973;51;0;1;0
05774012;Borchen;7728;966;440;238;33;13;71;57;5;437;367;5155;0;0;1574;32;0;1;0
05774016;Büren;17099;2099;902;436;105;30;132;97;11;1024;647;8394;0;0;6535;68;0;2;0
05774020;Delbrück;15728;2644;1385;586;134;23;291;218;9;937;734;11620;0;0;831;600;31;1;1
05774024;Hövelhof;7074;1135;642;316;86;9;100;64;6;378;315;3667;0;312;2165;99;8;0;0
05774028;Lichtenau, Westf;19257;1437;522;238;31;6;99;79;7;803;628;9596;35;1;8125;99;0;0;0
05774032;Paderborn;17960;6246;3620;1819;397;62;742;558;53;1769;1274;8161;1;104;2925;501;117;10;0
05774036;Salzkotten;10980;1858;957;497;93;51;229;113;9;612;495;7544;0;0;1447;121;9;0;0
05774040;Bad Wünnenberg;16130;1463;562;235;69;10;84;64;6;802;638;7626;0;0;6836;176;26;3;3
05911000;Bochum, krsfr. Stadt;14566;10301;6208;3306;1070;241;1412;1103;262;2178;1778;2954;0;0;1105;165;2;39;19
05913000;Dortmund, krsfr. Stadt;28071;16623;10168;5655;1446;433;1211;839;391;4420;2565;7254;0;0;3891;231;9;63;8
05914000;Hagen, krsfr. Stadt;16035;5610;3395;1774;631;126;431;283;106;1551;1075;3097;0;1;6752;363;114;101;77
05915000;Hamm, krsfr. Stadt;22643;7387;4356;2212;500;384;544;345;80;2022;1658;12518;0;0;2008;621;5;104;71
05916000;Herne, krsfr. Stadt;5142;3998;2256;1248;375;141;491;421;82;1028;732;596;0;0;342;198;0;8;4
05954004;Breckerfeld;5878;525;311;147;22;1;33;27;2;177;176;2737;0;0;2489;122;0;6;3
05954008;Ennepetal;5743;1197;878;450;156;6;43;27;14;257;240;2003;0;0;2467;55;1;19;18
05954012;Gevelsberg;2629;1067;680;384;118;13;57;16;10;306;217;952;0;0;572;22;0;15;12
05954016;Hattingen;7140;1872;1249;656;156;96;81;53;23;424;369;3178;0;0;1907;140;4;39;31
05954020;Herdecke;2240;788;549;371;40;7;49;34;12;171;151;495;0;0;877;66;5;9;8
05954024;Schwelm;2050;844;576;319;87;6;43;34;14;205;169;685;0;0;489;8;0;25;18
05954028;Sprockhövel;4780;1243;764;455;94;19;62;27;12;385;290;2350;0;0;1128;17;3;39;30
05954032;Wetter (Ruhr);3147;1023;676;365;121;35;43;28;12;258;201;1227;0;0;789;85;3;20;18
05954036;Witten;7237;3137;1968;1105;304;136;276;226;60;696;552;2265;0;0;1590;182;14;49;40
05958004;Arnsberg;19372;3715;2120;1153;297;89;252;175;34;1221;926;3283;0;0;12012;182;130;49;44
05958008;Bestwig;6948;918;397;206;42;63;51;33;4;402;352;1622;0;1;4332;43;19;14;14
05958012;Brilon;22916;2625;1158;527;178;116;137;72;13;1202;1017;8775;0;8;11158;84;248;25;18
05958016;Eslohe (Sauerland);11335;1181;443;176;54;12;25;18;4;696;668;4540;0;1;5542;65;0;7;6
05958020;Hallenberg;6535;674;227;102;31;11;15;10;2;419;412;2611;0;18;3208;36;2;4;4
05958024;Marsberg;18222;1842;871;397;82;35;109;38;13;814;735;9002;0;3;7164;160;17;36;36
05958028;Medebach;12605;1066;412;167;33;12;31;12;4;607;600;5127;0;29;6327;65;4;17;16
05958032;Meschede;21850;2580;1156;544;138;104;73;46;9;1238;1185;6325;0;7;12473;360;81;31;26
05958036;Olsberg;11800;1393;538;296;70;27;79;60;9;741;660;2499;0;2;7832;61;0;15;14
05958040;Schmallenberg;30310;3173;1071;473;101;42;149;84;12;1900;1843;9156;12;10;17820;156;1;5;3
05958044;Sundern (Sauerland);19327;2371;1109;570;165;42;154;93;14;1052;935;4806;0;3;11663;414;60;14;13
05958048;Winterberg;14795;1875;705;306;42;36;135;68;8;991;912;2971;0;135;9785;82;70;13;12
05962004;Altena;4442;766;529;307;93;8;12;4;11;206;186;859;0;2;2729;70;1;18;15
05962008;Balve;7481;803;448;232;64;20;22;7;4;310;284;2717;0;2;3749;43;155;14;13
05962012;Halver;7724;947;574;275;83;3;32;14;6;333;307;3923;0;0;2700;127;4;22;20
05962016;Hemer;6766;1469;1056;541;157;45;48;25;20;299;288;1494;0;0;3706;34;48;15;13
05962020;Herscheid;5939;495;287;169;35;2;10;4;3;193;192;1923;0;1;3470;24;9;18;15
05962024;Iserlohn;12549;3282;2113;1128;321;41;223;166;55;851;766;4521;0;2;4534;110;17;85;80
05962028;Kierspe;7191;776;510;283;60;3;25;9;5;233;215;2892;0;1;3409;100;2;12;12
05962032;Lüdenscheid;8702;2443;1599;858;317;47;121;85;37;640;606;1839;0;0;4158;203;12;47;44
05962036;Meinerzhagen;11566;1346;724;355;122;9;40;18;9;563;503;3668;0;1;6314;177;25;36;33
05962040;Menden (Sauerland);8610;2036;1450;850;232;35;81;36;18;453;410;3228;0;0;3207;101;28;9;8
05962044;Nachrodt-Wiblingwerde;2903;361;196;119;22;5;23;16;5;133;120;893;0;0;1609;34;0;6;5
05962048;Neuenrade;5410;655;387;207;67;4;12;4;7;245;240;1792;0;0;2940;19;2;3;3
05962052;Plettenberg;9676;1286;824;443;196;25;23;9;15;399;358;1822;0;7;6411;119;27;11;9
05962056;Schalksmühle;3809;649;396;236;62;2;24;5;6;220;201;1379;0;0;1736;32;1;13;12
05962060;Werdohl;3338;702;484;255;110;10;19;10;8;181;162;588;0;0;1953;83;1;12;12
05966004;Attendorn;9795;1619;807;411;146;20;120;48;11;660;561;2452;0;0;5115;580;1;27;19
05966008;Drolshagen;6711;1095;455;235;74;13;50;25;3;573;457;2711;0;0;2792;51;49;13;11
05966012;Finnentrop;10442;1524;626;325;123;32;61;43;6;799;673;2241;0;0;6510;140;0;28;26
05966016;Kirchhundem;14863;1351;457;257;48;22;97;87;5;769;688;2302;0;0;11141;60;3;6;6
05966020;Lennestadt;13559;1769;835;457;119;45;79;52;10;800;703;2704;0;5;8919;97;36;34;33
05966024;Olpe;8588;1723;742;386;82;56;80;46;9;836;655;1893;0;0;4646;312;1;13;4
05966028;Wenden;7256;1465;677;397;116;24;113;49;7;644;478;2566;0;0;3169;51;0;6;3
05970004;Bad Berleburg;27552;2717;843;398;82;28;51;29;12;1783;1577;6650;0;1;17992;157;28;9;8
05970008;Burbach, Siegerl;7972;1348;619;330;114;41;48;28;2;639;405;1481;0;0;5091;27;7;17;15
05970012;Erndtebrück;7098;715;356;156;61;16;13;6;3;326;280;1885;1;0;4447;46;0;5;3
05970016;Freudenberg, Westf;5460;1205;669;415;96;12;47;30;4;472;440;1092;0;0;3129;24;0;9;8
05970020;Hilchenbach;8112;999;518;337;49;14;50;26;10;406;353;1034;0;0;5961;107;0;11;10
05970024;Kreuztal;7107;1753;1054;610;218;36;120;27;11;533;451;1040;0;0;4249;41;0;24;21
05970028;Bad Laasphe;13595;1284;557;299;63;20;42;23;8;657;618;2502;0;0;9711;71;1;25;24
05970032;Netphen;13739;1781;786;465;112;63;62;38;10;861;831;2051;0;0;9711;145;2;50;49
05970036;Neunkirchen, Siegerl;3981;768;476;263;94;25;25;12;5;236;213;457;0;0;2729;17;0;10;7
05970040;Siegen;11469;3927;2449;1449;351;103;182;116;65;1127;1026;1482;0;0;5966;55;1;38;33
05970044;Wilnsdorf;7204;1443;739;487;95;50;53;26;9;592;562;1513;0;0;4203;24;1;20;17
05974004;Anröchte;7379;987;502;217;58;12;23;8;2;447;434;5513;0;0;745;54;56;25;24
05974008;Bad Sassendorf;6347;929;443;201;20;29;64;43;6;386;354;5089;0;0;242;59;23;4;1
05974012;Ense;5108;840;452;237;63;19;38;24;5;325;288;3248;0;0;946;63;0;11;11
05974016;Erwitte;8941;1353;703;321;91;78;80;60;6;485;474;7119;0;0;211;86;71;101;99
05974020;Geseke;9788;1377;761;379;109;39;60;35;9;507;440;7091;0;0;967;83;205;64;60
05974024;Lippetal;12661;1191;603;240;23;13;74;21;5;495;481;9392;0;0;1839;227;2;9;3
05974028;Lippstadt;11368;3232;1978;1043;222;42;386;183;28;799;748;7003;0;0;743;290;68;32;25
05974032;Möhnesee;12351;1270;540;262;42;54;155;42;6;516;470;4297;0;0;5663;1095;0;26;25
05974036;Rüthen;15815;1333;560;214;88;22;36;20;7;709;697;9393;0;0;4942;90;30;27;21
05974040;Soest;8581;2373;1348;675;125;74;141;109;20;790;721;5861;0;0;132;92;0;123;115
05974044;Warstein;15803;1816;1063;557;144;23;58;35;16;655;638;5118;0;0;8668;86;90;24;22
05974048;Welver;8562;1041;519;276;12;16;46;28;9;452;365;6701;1;0;667;153;0;1;0
05974052;Werl;7635;1816;970;435;138;71;122;77;16;637;581;5431;0;0;278;93;1;17;5
05974056;Wickede (Ruhr);2524;648;378;199;63;79;27;17;6;159;145;1357;0;0;458;54;0;7;7
05978004;Bergkamen;4484;1997;1259;651;258;223;105;81;26;384;338;1721;0;0;540;207;0;19;2
05978008;Bönen;3802;944;651;286;156;3;16;8;12;262;233;2552;0;0;258;42;0;7;3
