GENESIS-Tabelle: 449-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2012;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01051053;Hollingstedt;974;60;27;15;0;1;2;0;0;30;30;767;0;0;34;22;0;92;92
01051054;Immenstedt;309;26;13;8;0;0;0;0;0;13;13;280;0;2;1;1;0;1;1
01051057;Kaiser-Wilhelm-Koog;1306;84;55;16;6;1;0;0;0;28;28;1028;0;0;0;25;0;169;169
01051058;Karolinenkoog;1755;71;31;8;3;0;0;0;0;40;38;1191;0;0;1;485;0;6;6
01051060;Kleve, Dithmarschen;1281;72;41;28;0;0;1;0;0;30;30;1068;0;0;14;107;0;20;20
01051061;Krempel;483;53;34;27;2;0;1;0;0;18;16;384;0;0;9;7;0;31;31
01051062;Kronprinzenkoog;2885;187;109;40;2;1;2;1;3;72;71;2387;0;0;1;43;0;267;267
01051063;Krumstedt;1589;113;55;23;0;2;1;1;0;55;55;1210;0;13;201;20;3;41;41
01051064;Kuden;1136;99;49;26;0;3;0;0;0;48;45;856;0;0;90;63;0;28;28
01051065;Lehe;1863;132;80;60;0;3;3;1;0;46;41;1605;0;0;2;115;0;10;10
01051067;Lieth;466;121;100;13;75;5;0;0;0;16;16;325;0;0;7;9;0;4;4
01051068;Linden;1162;116;62;34;1;7;3;1;0;44;43;976;3;0;33;11;0;26;26
01051069;Lohe-Rickelshof;539;134;82;65;5;4;4;1;1;43;39;377;0;0;10;9;0;9;9
01051071;Lunden;465;102;65;52;7;0;6;1;5;26;22;280;0;0;35;33;0;15;15
01051072;Marne;483;298;223;150;31;2;17;8;5;51;47;177;0;0;0;7;0;1;1
01051073;Marnerdeich;131;25;19;13;1;0;1;0;0;5;5;102;0;0;0;3;0;1;1
01051074;Meldorf;2125;470;312;186;52;3;26;11;7;122;109;1366;0;0;9;181;0;99;99
01051075;Neuenkirchen;2514;179;89;39;5;0;1;1;1;88;84;2265;0;0;4;48;0;18;18
01051076;Neufeld;1041;91;53;27;0;2;1;1;0;36;34;934;0;0;0;15;0;1;1
01051077;Neufelderkoog;976;50;24;3;0;0;1;1;0;25;25;883;0;0;0;35;0;8;8
01051078;Nindorf;873;121;73;51;8;7;4;2;0;38;37;684;0;0;34;13;12;10;9
01051079;Norddeich;690;60;33;20;0;1;1;0;0;27;27;617;0;0;0;11;0;1;1
01051080;Norderheistedt;433;25;13;4;0;0;0;0;0;12;12;400;0;0;2;6;0;0;0
01051081;Norderwöhrden;1847;131;53;20;0;2;1;0;0;75;75;1672;0;0;5;38;0;1;1
01051082;Nordhastedt;2656;322;161;114;3;6;13;2;3;139;124;1695;0;0;259;93;0;287;287
01051083;Odderade;1126;64;32;19;1;1;0;0;0;30;30;647;0;0;361;17;0;38;38
01051084;Oesterdeichstrich;463;53;22;14;0;0;0;0;0;31;15;400;0;0;0;9;0;1;1
01051085;Offenbüttel;1395;76;33;18;0;1;2;0;0;40;40;1156;29;0;47;49;1;65;65
01051086;Osterrade;1709;99;54;26;0;0;0;0;0;45;45;1506;24;0;57;36;0;11;11
01051087;Ostrohe;667;101;58;43;1;1;8;1;0;33;33;475;35;0;57;30;0;4;4
01051088;Pahlen;1080;138;75;46;3;8;13;0;2;42;42;826;0;0;10;53;16;37;37
01051089;Quickborn;695;56;17;13;0;0;1;0;0;38;26;261;0;0;373;2;0;3;2
01051090;Ramhusen;480;37;21;8;0;0;0;0;0;16;16;427;0;0;3;12;0;0;0
01051092;Rehm-Flehde-Bargen;1462;114;60;32;4;3;4;3;0;47;39;1134;0;0;41;37;0;137;137
01051093;Reinsbüttel;683;53;30;18;0;1;0;0;0;21;19;607;0;0;1;22;0;0;0
01051096;Sankt Annen;1489;95;47;21;1;1;0;0;1;47;40;1307;0;0;4;70;0;14;14
01051097;Sankt Michaelisdonn;2305;425;192;131;17;11;68;9;2;153;93;1702;0;23;123;34;0;21;21
01051098;Sarzbüttel;1339;111;59;42;1;3;4;1;1;43;43;977;0;0;154;52;0;45;44
01051099;Schafstedt;1816;245;104;73;6;7;15;0;1;118;88;1388;0;0;128;46;0;10;9
01051100;Schalkholz;1250;103;53;30;5;2;1;0;0;46;46;1014;58;0;37;9;53;35;34
01051102;Schlichting;1250;81;41;14;0;0;0;0;0;40;40;1122;0;0;9;32;0;6;6
01051103;Schmedeswurth;591;47;28;7;2;0;0;0;0;19;19;533;0;0;0;10;0;1;1
01051104;Schrum;500;24;8;2;0;1;0;0;0;16;16;436;0;38;36;2;0;2;1
01051105;Schülp;927;79;48;22;0;0;1;0;0;30;30;818;0;0;0;30;0;0;0
01051107;Stelle-Wittenwurth;1071;97;39;23;1;0;1;1;0;57;50;867;0;0;8;20;0;79;79
01051108;Strübbel;440;29;14;7;0;1;0;0;0;13;13;402;0;0;0;9;0;0;0
01051109;Süderdeich;664;58;36;19;3;0;0;0;0;22;21;585;0;0;3;16;0;1;1
01051110;Süderhastedt;1574;123;59;28;0;1;2;0;2;59;58;1319;0;0;94;17;1;20;20
01051111;Süderheistedt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01051113;Wöhrden;2177;195;97;74;3;1;5;1;2;90;86;1915;0;0;1;52;0;14;14
01051114;Tellingstedt;2110;248;146;96;8;1;9;4;3;88;88;1655;1;0;33;118;11;44;44
01051117;Tielenhemme;1271;48;23;13;0;0;2;1;0;23;23;1128;0;0;1;72;0;21;20
01051118;Trennewurth;779;58;33;17;0;1;0;0;0;24;24;703;0;0;0;17;0;0;0
01051119;Volsemenhusen;1677;111;57;16;2;0;0;0;0;53;49;1537;0;0;0;28;0;0;0
01051120;Wallen;186;13;6;2;0;0;0;0;0;7;7;163;0;0;3;6;0;2;2
01051121;Warwerort;457;68;19;15;0;0;31;1;0;17;17;325;0;0;0;32;0;33;33
01051122;Weddingstedt;1779;250;143;92;22;2;4;3;3;98;84;1311;0;0;167;19;0;33;31
01051125;Welmbüttel;760;61;31;22;1;2;1;0;0;27;27;322;0;0;269;77;6;25;25
01051126;Wennbüttel;459;29;13;7;0;0;0;0;0;16;13;299;0;1;103;17;0;12;12
01051127;Wesselburen;514;178;123;93;10;1;10;3;7;36;34;321;0;0;3;9;0;2;2
01051128;Wesselburener Deichhausen;507;30;16;9;0;0;0;0;0;14;14;454;0;0;0;12;0;11;11
01051129;Wesselburenerkoog;2189;88;41;31;1;1;3;3;0;43;43;1500;0;0;0;584;0;17;17
01051130;Wesseln;376;102;75;53;4;3;3;0;0;21;21;265;0;0;2;5;0;2;2
01051131;Westerborstel;414;23;12;5;0;0;1;0;0;10;10;377;0;0;2;3;0;9;9
01051132;Westerdeichstrich;749;91;54;40;1;1;9;8;0;27;27;625;0;0;0;29;0;4;4
01051133;Wiemerstedt;508;31;14;7;0;0;0;0;0;17;17;431;0;0;34;10;0;1;1
01051134;Windbergen;1731;141;73;36;8;3;3;0;1;61;58;1407;0;0;66;20;0;96;94
01051135;Wolmersdorf;610;53;28;18;1;5;1;0;0;19;19;510;0;0;22;13;0;12;12
01051136;Wrohm;1145;116;58;33;1;3;3;2;1;50;50;982;0;0;11;23;0;13;13
01051137;Nordermeldorf;3410;193;78;30;2;2;5;4;0;107;106;2975;0;0;3;157;0;82;82
01051138;Tensbüttel-Röst;1936;205;75;26;7;7;2;0;0;121;112;1406;0;0;184;34;1;106;102
01051139;Süderdorf;1621;105;49;17;0;2;0;0;0;54;53;1420;0;0;71;20;2;2;2
01051140;Oesterwurth;1419;93;44;12;1;3;2;0;0;44;40;1297;0;0;1;28;0;0;0
01051141;Süderheistedt;844;78;49;22;0;2;1;1;0;26;26;728;0;0;25;9;0;3;3
01053001;Albsfelde;418;11;5;5;0;0;0;0;0;6;6;151;0;0;255;1;0;0;0
01053002;Alt Mölln;644;121;61;41;15;2;3;3;0;55;55;429;0;0;78;14;1;1;1
01053003;Aumühle;347;196;144;121;5;1;8;1;4;40;29;41;1;0;105;5;0;0;0
01053004;Bäk;430;57;40;35;0;0;1;1;0;15;15;257;0;0;112;4;0;0;0
01053005;Bälau;650;39;17;12;1;3;1;1;0;18;18;465;0;0;141;5;0;0;0
01053006;Basedow;747;78;34;27;0;1;4;4;0;38;27;562;0;0;88;17;0;2;2
01053007;Basthorst;1082;68;23;16;0;1;3;3;0;41;40;653;0;0;351;6;3;1;1
01053008;Behlendorf;1026;69;31;18;1;1;3;2;0;34;29;681;0;0;195;80;0;0;0
01053009;Berkenthin;1025;153;78;65;2;3;11;6;1;60;59;781;0;0;65;24;0;1;1
01053010;Besenthal;1265;81;12;3;0;0;0;0;0;69;69;675;0;0;497;12;0;0;0
01053011;Bliestorf;1035;73;38;25;0;0;2;1;0;33;33;598;0;0;362;2;0;0;0
01053012;Börnsen;842;216;150;125;6;1;10;6;0;56;53;457;0;0;163;5;0;1;1
01053013;Borstorf;865;42;20;11;1;0;1;0;0;21;21;325;0;0;491;6;0;1;1
01053014;Breitenfelde;1254;161;91;52;10;0;16;10;1;53;53;1025;0;0;50;10;7;0;0
01053015;Bröthen;1069;59;20;13;1;1;0;0;0;38;33;636;0;4;369;4;1;0;0
01053016;Brunsmark;429;27;10;9;0;0;0;0;0;17;17;103;0;0;297;1;0;0;0
01053017;Brunstorf;1376;198;30;21;4;3;119;1;1;46;46;902;0;0;268;6;0;1;1
01053018;Buchholz;293;50;16;16;0;4;3;2;0;27;23;206;0;0;33;2;0;2;2
01053019;Buchhorst;519;51;24;7;13;1;1;0;0;26;20;347;0;9;90;9;21;1;1
01053020;Büchen;1685;419;246;161;38;5;26;13;3;139;104;1001;0;90;220;40;1;3;3
01053021;Dahmker;204;18;10;5;0;0;0;0;0;8;8;177;0;0;7;1;0;0;0
01053022;Dalldorf;605;66;25;18;0;1;2;0;0;38;32;441;1;0;56;39;3;1;1
01053023;Dassendorf;795;216;170;159;1;0;4;0;1;41;41;522;0;0;45;2;2;8;8
01053024;Düchelsdorf;301;16;9;7;0;2;0;0;0;5;5;269;1;0;14;1;0;0;0
01053025;Duvensee;1240;75;38;22;1;1;2;1;0;35;34;908;9;0;239;17;0;0;0
01053026;Einhaus;253;38;18;17;0;1;0;0;0;19;16;200;0;0;14;1;0;0;0
01053027;Elmenhorst;1299;203;79;29;23;67;4;2;0;53;53;872;3;0;215;7;2;0;0
01053028;Escheburg;891;234;95;90;1;0;81;0;0;58;54;543;0;18;97;14;0;2;2
01053029;Fitzen;911;69;31;19;2;0;6;6;0;31;31;591;1;0;189;31;14;18;18
01053030;Fredeburg;1009;39;6;2;0;0;0;0;0;32;24;196;0;0;770;3;0;0;0
01053031;Fuhlenhagen;574;53;22;12;0;1;1;0;0;29;29;463;0;0;52;5;0;1;1
01053032;Geesthacht;3319;1283;821;478;208;96;88;64;23;255;234;1063;0;69;703;253;3;14;14
01053033;Giesensdorf;273;17;8;4;0;0;0;0;0;9;9;243;0;0;10;3;0;0;0
01053034;Göldenitz;515;29;13;10;0;0;1;1;0;15;15;450;0;0;28;7;0;1;1
01053035;Göttin;521;40;9;5;0;0;0;0;0;31;31;327;0;10;147;6;0;0;0
01053036;Grabau;410;43;20;11;0;0;1;0;0;21;20;330;0;0;28;3;6;1;1
01053037;Grambek;1266;180;29;23;1;17;58;2;1;75;61;242;17;9;783;54;7;0;0
01053038;Grinau;274;25;14;9;0;3;0;0;0;8;8;228;0;0;19;1;0;1;1
01053039;Groß Boden;270;25;13;9;0;0;0;0;0;12;12;239;0;0;2;4;0;0;0
01053040;Groß Disnack;599;36;7;2;0;1;0;0;0;28;28;225;0;0;329;7;0;2;2
01053041;Groß Grönau;490;161;116;99;0;0;9;5;0;35;33;256;0;0;58;9;2;3;3
01053042;Groß Pampau;432;24;12;5;0;0;1;0;0;12;12;340;0;0;34;4;28;1;1
01053043;Groß Sarau;1708;198;60;42;1;0;12;4;0;125;99;1275;1;7;191;43;1;0;0
01053044;Groß Schenkenberg;652;55;31;18;0;1;4;0;0;19;19;549;0;0;39;8;0;1;1
01053045;Grove;528;36;15;11;0;1;0;0;0;20;17;445;0;0;43;2;0;2;2
01053046;Gudow;4226;278;112;64;1;2;12;9;1;151;148;2017;72;23;1718;142;65;5;4
01053047;Gülzow;1707;120;53;42;0;1;19;15;1;45;45;1020;0;0;557;8;1;2;2
01053048;Güster;778;166;82;70;6;3;34;32;1;46;36;331;0;0;124;148;3;7;7
01053049;Hamfelde;347;42;24;22;0;2;0;0;0;16;16;250;3;0;42;11;0;2;2
01053050;Hamwarde;668;68;39;37;0;0;2;0;1;26;26;492;0;3;101;2;6;0;0
01053051;Harmsdorf;357;34;15;11;1;0;0;0;0;18;17;273;0;1;47;3;0;0;0
01053052;Havekost;591;40;10;4;0;2;0;0;0;28;22;497;2;1;51;2;1;0;0
01053053;Hohenhorn;693;65;31;20;0;0;11;0;0;22;22;589;0;0;31;2;0;6;6
01053054;Hollenbek;721;53;28;21;2;0;0;0;0;25;23;624;0;0;37;4;0;3;3
01053056;Hornbek;589;64;19;10;4;0;0;0;0;44;41;346;7;7;159;19;0;2;2
01053057;Horst;1193;62;25;21;0;0;4;3;0;32;25;811;7;0;291;22;1;7;7
01053058;Juliusburg;604;33;11;6;1;0;0;0;0;21;21;472;0;0;91;6;1;0;0
01053059;Kankelau;421;32;13;9;0;0;0;0;0;19;19;367;1;0;18;3;0;2;2
01053060;Kasseburg;789;84;28;20;1;0;0;0;0;56;56;573;0;0;126;4;3;0;0
01053061;Kastorf;690;91;62;40;8;2;3;3;0;24;21;571;0;0;24;3;0;0;0
01053062;Kittlitz;1773;67;33;15;0;0;1;1;0;32;32;1111;3;0;395;196;3;1;1
01053064;Klein Pampau;417;51;33;25;2;1;3;3;0;15;15;303;0;0;58;4;0;0;0
01053066;Klein Zecher;911;44;23;13;0;1;0;0;0;20;20;778;0;0;79;6;0;5;5
01053067;Klempau;1007;83;41;24;0;4;3;1;0;35;35;794;0;0;98;26;4;1;1
01053068;Klinkrade;740;54;28;18;0;0;2;1;0;24;24;669;1;0;11;6;0;0;0
01053069;Koberg;1198;69;37;26;2;0;2;2;0;30;30;713;25;0;404;11;0;1;1
01053070;Köthel;152;22;14;12;0;0;1;0;1;6;6;113;0;0;10;7;0;0;0
01053071;Kollow;821;59;35;32;0;0;3;1;0;22;22;629;0;0;127;6;0;0;0
01053072;Kröppelshagen-Fahrendorf;837;98;54;47;0;0;3;0;0;40;40;500;0;0;234;5;0;1;1
01053073;Krüzen;825;61;21;12;0;1;3;3;0;37;37;684;0;0;67;7;3;3;3
01053074;Krukow;794;43;16;8;0;0;0;0;0;27;27;575;0;0;167;4;5;0;0
01053075;Krummesse;335;83;55;46;1;3;6;1;1;17;17;223;0;0;19;5;0;5;5
01053076;Kuddewörde;734;104;61;53;1;0;2;1;1;39;39;566;0;0;54;5;5;1;1
01053077;Kühsen;728;48;20;14;1;1;0;0;0;27;27;578;0;0;85;15;1;0;0
01053078;Kulpin;607;29;14;12;0;0;1;1;0;13;13;534;0;0;37;6;0;1;1
01053079;Labenz;575;63;42;26;0;1;2;2;0;19;18;501;0;0;4;6;0;0;0
01053080;Langenlehsten;2337;93;19;8;0;2;1;0;0;72;72;714;11;34;1524;6;1;0;0
01053081;Lankau;1912;106;35;22;1;1;6;4;0;64;61;1088;0;3;630;87;1;0;0
01053082;Lanze;905;59;17;7;1;0;7;1;0;35;22;753;0;0;20;46;24;4;4
01053083;Lauenburg/Elbe;954;444;310;209;62;5;26;22;6;98;80;347;0;0;33;117;11;2;2
01053084;Lehmrade;1140;90;25;21;0;1;12;11;0;52;52;503;1;5;441;103;0;3;3
01053085;Linau;966;95;53;39;1;1;8;2;0;33;33;792;0;0;41;31;2;5;4
01053086;Lüchow;462;25;13;8;0;1;0;0;0;11;11;427;0;0;6;4;0;0;0
01053087;Lütau;1124;82;38;21;2;2;1;0;1;41;41;896;0;0;138;7;0;1;1
01053088;Mechow;443;25;12;8;0;0;3;1;0;10;10;402;1;0;10;4;2;0;0
01053089;Möhnsen;748;81;32;19;6;2;1;0;0;45;43;595;1;0;66;5;0;0;0
01053090;Mölln;2505;769;527;333;83;4;45;31;9;185;173;278;9;2;1273;170;14;1;1
01053091;Mühlenrade;374;28;11;6;0;1;1;0;0;14;14;312;0;0;30;3;1;0;0
01053092;Müssen;1146;129;64;42;1;0;6;2;1;59;37;831;0;0;163;16;4;2;2
01053093;Mustin;1188;79;44;34;1;1;3;1;1;31;31;886;1;0;145;78;0;0;0
01053094;Niendorf bei Berkenthin;399;32;13;9;0;0;1;1;0;18;18;309;0;0;48;9;0;1;1
01053095;Niendorf/Stecknitz;841;61;34;22;0;0;5;5;0;22;22;616;0;0;161;3;0;0;0
01053096;Nusse;622;82;48;36;0;3;2;0;3;26;26;480;0;0;47;12;1;0;0
01053097;Panten;1383;95;50;36;3;2;1;1;0;42;42;1121;13;5;122;16;8;21;21
01053098;Pogeez;451;52;24;21;0;3;0;0;0;26;21;362;0;0;35;1;0;0;0
01053099;Poggensee;544;34;15;13;0;0;0;0;0;18;18;370;0;2;137;2;0;2;2
01053100;Ratzeburg;3029;595;388;268;28;5;59;45;7;137;119;611;44;0;209;1592;11;11;10
01053101;Ritzerau;1111;48;21;17;0;0;2;2;0;25;25;570;0;0;447;45;0;0;0
01053102;Römnitz;515;23;6;2;0;0;7;7;0;9;9;335;0;0;153;5;0;0;0
01053103;Rondeshagen;951;97;48;36;0;21;3;3;0;25;25;772;0;0;76;7;0;0;0
01053104;Roseburg;1623;99;43;29;1;0;3;3;0;53;47;831;1;0;673;12;6;1;1
01053105;Sachsenwald;5849;249;5;1;4;0;0;0;0;244;223;131;8;0;5435;16;2;16;16
01053106;Sahms;594;42;18;13;0;0;2;0;0;21;20;500;1;1;42;3;5;4;4
01053107;Salem;2511;172;65;43;1;2;34;28;0;72;72;1207;0;0;912;191;2;26;26
01053108;Sandesneben;613;98;61;46;1;1;10;7;3;23;23;510;0;0;3;2;0;0;0
01053109;Schiphorst;815;52;30;18;0;0;1;1;0;21;21;692;0;0;68;2;0;0;0
01053110;Schmilau;1155;105;42;28;0;2;5;0;0;56;50;777;1;0;246;26;0;2;2
