Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1849;AB;57;54;52;59;61;57;57;
1850;AB;57;54;52;59;61;57;57;
1851;AB;57;54;52;59;61;57;57;
1852;AB;57;54;52;59;61;57;57;
1853;AB;57;54;52;59;61;57;57;
1854;AB;57;54;52;59;61;57;57;
1855;AB;57;54;52;59;61;57;57;
1856;AB;57;54;52;59;61;57;57;
1857;AB;57;54;52;59;61;57;57;
1858;AB;57;54;52;59;61;57;57;
1859;AB;57;54;52;59;61;57;57;
1860;AB;57;54;52;59;61;57;57;
1861;AB;57;54;52;59;61;57;57;
1862;AB;57;54;52;59;61;57;57;
1863;AB;57;54;52;59;61;57;57;
1864;AB;57;54;52;59;61;57;57;
1865;AB;57;54;52;59;61;57;57;
1866;AB;57;54;52;59;61;57;57;
1867;AB;57;54;52;59;61;57;57;
1868;AB;57;54;52;59;61;57;57;
1869;AB;57;54;52;59;61;57;57;
1870;AB;57;54;52;59;61;57;57;
1871;AB;57;54;52;59;61;57;57;
1872;AB;57;54;52;59;61;57;57;
1873;AB;57;54;52;59;61;57;57;
1874;AB;57;54;52;59;61;57;57;
1875;AB;57;54;52;59;61;57;57;
1876;AB;57;54;52;59;61;57;57;
1877;AB;57;54;52;59;61;57;57;
1878;AB;57;54;52;59;61;57;57;
1879;AB;57;54;52;59;61;57;57;
1880;AB;57;54;52;59;61;57;57;
1881;AB;57;54;52;59;61;57;57;
1882;AB;57;54;52;59;61;57;57;
1883;AB;57;54;52;59;61;57;57;
1884;AB;57;54;52;59;61;57;57;
1885;AB;57;54;52;59;61;57;57;
1886;AB;57;54;52;59;61;57;57;
1887;AB;57;54;52;59;61;57;57;
1888;AB;57;54;52;59;61;57;57;
1889;AB;57;54;52;59;61;57;57;
1890;AB;57;54;52;59;61;57;57;
1891;AB;57;54;52;59;61;57;57;
1892;AB;57;54;52;59;61;57;57;
1893;AB;57;54;52;59;61;57;57;
1894;AB;57;54;52;59;61;57;57;
1895;AB;57;54;52;59;61;57;57;
1896;AB;57;54;52;59;61;57;57;
1897;AB;57;54;52;59;61;57;57;
1898;AB;57;54;52;59;61;57;57;
1899;AB;57;54;52;59;61;57;57;
1900;AB;57;54;52;59;61;57;57;
1901;AB;57;54;52;59;61;57;57;
1902;AB;57;54;52;59;61;57;57;
1903;AB;57;54;52;59;61;57;57;
1904;AB;57;54;52;59;61;57;57;
1905;AB;57;54;52;59;61;57;57;
1906;AB;57;54;52;59;61;57;57;
1907;AB;57;54;52;59;61;57;57;
1908;AB;57;54;52;59;61;57;57;
1909;AB;57;54;52;59;61;57;57;
1910;AB;57;54;52;59;61;57;57;
1911;AB;57;54;52;59;61;57;57;
1912;AB;57;54;52;59;61;57;57;
1913;AB;57;54;52;59;61;57;57;
1914;AB;57;54;52;59;61;57;57;
1915;AB;57;54;52;59;61;57;57;
1916;AB;57;54;52;59;61;57;57;
1917;AB;57;54;52;59;61;57;57;
1918;AB;57;54;52;59;61;57;57;
1919;C;49;;43;59;;48;47;
1920;C;49;;43;59;;48;47;
1921;C;49;;43;59;;48;47;
1922;C;49;;43;59;;48;47;
1923;C;49;;43;59;;48;47;
1924;C;49;;43;59;;48;47;
1925;C;49;;43;59;;48;47;
1926;C;49;;43;59;;48;47;
1927;C;49;;43;59;;48;47;
1928;C;49;;43;59;;48;47;
1929;C;49;;43;59;;48;47;
1930;C;49;;43;59;;48;47;
1931;C;49;;43;59;;48;47;
1932;C;49;;43;59;;48;47;
1933;C;49;;43;59;;48;47;
1934;C;49;;43;59;;48;47;
1935;C;49;;43;59;;48;47;
1936;C;49;;43;59;;48;47;
1937;C;49;;43;59;;48;47;
1938;C;49;;43;59;;48;47;
1939;C;49;;43;59;;48;47;
1940;C;49;;43;59;;48;47;
1941;C;49;;43;59;;48;47;
1942;C;49;;43;59;;48;47;
1943;C;49;;43;59;;48;47;
1944;C;49;;43;59;;48;47;
1945;C;49;;43;59;;48;47;
1946;C;49;;43;59;;48;47;
1947;C;49;;43;59;;48;47;
