Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1849;AB;49;54;52;43;61;41;42;
1850;AB;49;54;52;43;61;41;42;
1851;AB;49;54;52;43;61;41;42;
1852;AB;49;54;52;43;61;41;42;
1853;AB;49;54;52;43;61;41;42;
1854;AB;49;54;52;43;61;41;42;
1855;AB;49;54;52;43;61;41;42;
1856;AB;49;54;52;43;61;41;42;
1857;AB;49;54;52;43;61;41;42;
1858;AB;49;54;52;43;61;41;42;
1859;AB;49;54;52;43;61;41;42;
1860;AB;49;54;52;43;61;41;42;
1861;AB;49;54;52;43;61;41;42;
1862;AB;49;54;52;43;61;41;42;
1863;AB;49;54;52;43;61;41;42;
1864;AB;49;54;52;43;61;41;42;
1865;AB;49;54;52;43;61;41;42;
1866;AB;49;54;52;43;61;41;42;
1867;AB;49;54;52;43;61;41;42;
1868;AB;49;54;52;43;61;41;42;
1869;AB;49;54;52;43;61;41;42;
1870;AB;49;54;52;43;61;41;42;
1871;AB;49;54;52;43;61;41;42;
1872;AB;49;54;52;43;61;41;42;
1873;AB;49;54;52;43;61;41;42;
1874;AB;49;54;52;43;61;41;42;
1875;AB;49;54;52;43;61;41;42;
1876;AB;49;54;52;43;61;41;42;
1877;AB;49;54;52;43;61;41;42;
1878;AB;49;54;52;43;61;41;42;
1879;AB;49;54;52;43;61;41;42;
1880;AB;49;54;52;43;61;41;42;
1881;AB;49;54;52;43;61;41;42;
1882;AB;49;54;52;43;61;41;42;
1883;AB;49;54;52;43;61;41;42;
1884;AB;49;54;52;43;61;41;42;
1885;AB;49;54;52;43;61;41;42;
1886;AB;49;54;52;43;61;41;42;
1887;AB;49;54;52;43;61;41;42;
1888;AB;49;54;52;43;61;41;42;
1889;AB;49;54;52;43;61;41;42;
1890;AB;49;54;52;43;61;41;42;
1891;AB;49;54;52;43;61;41;42;
1892;AB;49;54;52;43;61;41;42;
1893;AB;49;54;52;43;61;41;42;
1894;AB;49;54;52;43;61;41;42;
1895;AB;49;54;52;43;61;41;42;
1896;AB;49;54;52;43;61;41;42;
1897;AB;49;54;52;43;61;41;42;
1898;AB;49;54;52;43;61;41;42;
1899;AB;49;54;52;43;61;41;42;
1900;AB;49;54;52;43;61;41;42;
1901;AB;49;54;52;43;61;41;42;
1902;AB;49;54;52;43;61;41;42;
1903;AB;49;54;52;43;61;41;42;
1904;AB;49;54;52;43;61;41;42;
1905;AB;49;54;52;43;61;41;42;
1906;AB;49;54;52;43;61;41;42;
1907;AB;49;54;52;43;61;41;42;
1908;AB;49;54;52;43;61;41;42;
1909;AB;49;54;52;43;61;41;42;
1910;AB;49;54;52;43;61;41;42;
1911;AB;49;54;52;43;61;41;42;
1912;AB;49;54;52;43;61;41;42;
1913;AB;49;54;52;43;61;41;42;
1914;AB;49;54;52;43;61;41;42;
1915;AB;49;54;52;43;61;41;42;
1916;AB;49;54;52;43;61;41;42;
1917;AB;49;54;52;43;61;41;42;
1918;AB;49;54;52;43;61;41;42;
1919;C;42;;43;43;;48;34;
1920;C;42;;43;43;;48;34;
1921;C;42;;43;43;;48;34;
1922;C;42;;43;43;;48;34;
1923;C;42;;43;43;;48;34;
1924;C;42;;43;43;;48;34;
1925;C;42;;43;43;;48;34;
1926;C;42;;43;43;;48;34;
1927;C;42;;43;43;;48;34;
1928;C;42;;43;43;;48;34;
1929;C;42;;43;43;;48;34;
1930;C;42;;43;43;;48;34;
1931;C;42;;43;43;;48;34;
1932;C;42;;43;43;;48;34;
1933;C;42;;43;43;;48;34;
1934;C;42;;43;43;;48;34;
1935;C;42;;43;43;;48;34;
1936;C;42;;43;43;;48;34;
1937;C;42;;43;43;;48;34;
1938;C;42;;43;43;;48;34;
1939;C;42;;43;43;;48;34;
1940;C;42;;43;43;;48;34;
1941;C;42;;43;43;;48;34;
1942;C;42;;43;43;;48;34;
1943;C;42;;43;43;;48;34;
1944;C;42;;43;43;;48;34;
1945;C;42;;43;43;;48;34;
1946;C;42;;43;43;;48;34;
1947;C;42;;43;43;;48;34;
1948;C;42;;43;43;;48;34;
1949;D;44;;48;41;;42;47;
1950;D;44;;48;41;;42;47;
1951;D;44;;48;41;;42;47;
1952;D;44;;48;41;;42;47;
1953;D;44;;48;41;;42;47;
1954;D;44;;48;41;;42;47;
1955;D;44;;48;41;;42;47;
1956;D;44;;48;41;;42;47;
1957;D;44;;48;41;;42;47;
1958;E;41;;30;41;;32;50;50
1959;E;41;;30;41;;32;50;50
1960;E;41;;30;41;;32;50;50
1961;E;41;;30;41;;32;50;50
1962;E;41;;30;41;;32;50;50
1963;E;41;;30;41;;32;50;50
1964;E;41;;30;41;;32;50;50
1965;E;41;;30;41;;32;50;50
1966;E;41;;30;41;;32;50;50
1967;E;41;;30;41;;32;50;50
1968;E;41;;30;41;;32;50;50
1969;F;33;30;30;41;;32;40;29
1970;F;33;30;30;41;;32;40;29
1971;F;33;30;30;41;;32;40;29
1972;F;33;30;30;41;;32;40;29
1973;F;33;30;30;41;;32;40;29
1974;F;33;30;30;41;;32;40;29
1975;F;33;30;30;41;;32;40;29
1976;F;33;30;30;41;;32;40;29
1977;F;33;30;30;41;;32;40;29
1978;F;33;30;30;41;;32;40;29
1979;G;30;;35;27;;28;;
1980;G;30;;35;27;;28;;
1981;G;30;;35;27;;28;;
1982;G;30;;35;27;;28;;
1983;G;30;;35;27;;28;;
1984;H;31;;35;27;;30;;
1985;H;31;;35;27;;30;;
1986;H;31;;35;27;;30;;
1987;H;31;;35;27;;30;;
1988;H;31;;35;27;;30;;
1989;H;31;;35;27;;30;;
1990;H;31;;35;27;;30;;
1991;H;31;;35;27;;30;;
1992;H;31;;35;27;;30;;
1993;H;31;;35;27;;30;;
1994;H;31;;35;27;;30;;
1995;I;;;;;;;;
1996;I;;;;;;;;
1997;I;;;;;;;;
1998;I;;;;;;;;
1999;I;;;;;;;;
2000;I;;;;;;;;
2001;I;;;;;;;;
2002;I;;;;;;;;
2003;I;;;;;;;;
2004;I;;;;;;;;
2005;I;;;;;;;;
2006;I;;;;;;;;
2007;I;;;;;;;;
2008;I;;;;;;;;
2009;I;;;;;;;;
2010;I;;;;;;;;
2011;I;;;;;;;;
2012;I;;;;;;;;
2013;I;;;;;;;;
2014;I;;;;;;;;
2015;I;;;;;;;;
2016;I;;;;;;;;
2017;I;;;;;;;;
2018;I;;;;;;;;
2019;I;;;;;;;;
2020;I;;;;;;;;
2021;I;;;;;;;;
2022;I;;;;;;;;
2023;I;;;;;;;;
2024;I;;;;;;;;
2025;I;;;;;;;;
