;Boden;Wand;Decke
vor 1918 ;77,44;27,78;133,11
1919-1948 ;76,40;25,49;75,20
1949-1957 ;82,24;19,54;89,20
1958-1968 ;63,14;21,89;80,47
1969-1978 ;61,55;15,06;47,05
1979-1983 ;52,93;13,70;42,68
1984-1994 ;41,25;11,84;32,22
1995-2001;22,00;7,26;17,88
ab 2002;22,66;5,17;17,53
Mittel;64,99;19,33;71,42
