Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1816;AB;4.529;26.137,01;250;204;241;180;159;
1817;AB;4.532;26.159,29;250;204;241;180;159;
1818;AB;4.536;26.181,57;250;204;241;180;159;
1819;AB;4.540;26.203,85;250;204;241;180;159;
1820;AB;4.543;26.226,13;250;204;241;180;159;
1821;AB;4.547;26.248,41;250;204;241;180;159;
1822;AB;4.551;26.270,69;250;204;241;180;159;
1823;AB;4.554;26.292,98;250;204;241;180;159;
1824;AB;4.558;26.315,26;250;204;241;180;159;
1825;AB;4.562;26.337,54;250;204;241;180;159;
1826;AB;4.566;26.359,83;250;204;241;180;159;
1827;AB;4.569;26.382,11;250;204;241;180;159;
1828;AB;4.573;26.404,40;250;204;241;180;159;
1829;AB;4.577;26.426,68;250;204;241;180;159;
1830;AB;4.580;26.448,97;250;204;241;180;159;
1831;AB;4.584;26.471,26;250;204;241;180;159;
1832;AB;4.588;26.493,55;250;204;241;180;159;
1833;AB;4.592;26.515,83;250;204;241;180;159;
1834;AB;4.595;26.538,12;250;204;241;180;159;
1835;AB;4.599;26.560,41;250;204;241;180;159;
1836;AB;4.603;26.582,70;250;204;241;180;159;
1837;AB;4.606;26.605,00;250;204;241;180;159;
1838;AB;4.610;26.627,29;250;204;241;180;159;
1839;AB;4.614;26.649,58;250;204;241;180;159;
1840;AB;4.618;26.671,87;250;204;241;180;159;
1841;AB;4.621;26.694,17;250;204;241;180;159;
1842;AB;4.625;26.716,46;250;204;241;180;159;
1843;AB;4.629;26.738,75;250;204;241;180;159;
1844;AB;4.633;26.761,05;250;204;241;180;159;
1845;AB;4.636;26.783,35;250;204;241;180;159;
1846;AB;4.640;26.805,64;250;204;241;180;159;
1847;AB;4.644;26.827,94;250;204;241;180;159;
1848;AB;4.647;26.850,24;250;204;241;180;159;
1849;AB;4.651;26.872,53;250;204;241;180;159;
1850;AB;4.655;26.894,83;250;204;241;180;159;
1851;AB;4.659;26.917,13;250;204;241;180;159;
1852;AB;4.662;26.939,43;250;204;241;180;159;
1853;AB;4.666;26.961,73;250;204;241;180;159;
1854;AB;4.670;26.984,03;250;204;241;180;159;
1855;AB;4.673;27.006,33;250;204;241;180;159;
1856;AB;4.677;27.028,63;250;204;241;180;159;
1857;AB;4.681;27.050,93;250;204;241;180;159;
1858;AB;4.685;27.073,24;250;204;241;180;159;
1859;AB;4.688;27.095,54;250;204;241;180;159;
1860;AB;4.692;27.117,84;250;204;241;180;159;
1861;AB;4.696;27.140,15;250;204;241;180;159;
1862;AB;4.699;27.162,45;250;204;241;180;159;
1863;AB;4.703;27.184,75;250;204;241;180;159;
1864;AB;4.707;27.207,06;250;204;241;180;159;
