GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051088;Pahlen;423;406;403;3;17;527;501;498;3;26
01051089;Quickborn;82;79;79;-;3;85;79;79;-;6
01051090;Ramhusen;61;58;58;-;3;68;65;65;-;3
01051092;Rehm-Flehde-Bargen;205;202;202;-;3;242;239;239;-;3
01051093;Reinsbüttel;171;171;171;-;-;183;183;183;-;-
01051096;Sankt Annen;136;123;123;-;13;149;136;136;-;13
01051097;Sankt Michaelisdonn;1350;1296;1296;-;54;1634;1568;1568;-;66
01051098;Sarzbüttel;309;293;293;-;16;335;319;319;-;16
01051099;Schafstedt;506;482;482;-;24;612;585;585;-;27
01051100;Schalkholz;238;226;226;-;12;266;254;254;-;12
01051102;Schlichting;97;90;90;-;7;109;99;99;-;10
01051103;Schmedeswurth;71;68;68;-;3;86;83;83;-;3
01051104;Schrum;23;19;19;-;4;35;31;31;-;4
01051105;Schülp;208;196;196;-;12;222;210;210;-;12
01051107;Stelle-Wittenwurth;165;162;162;-;3;199;196;196;-;3
01051108;Strübbel;58;58;58;-;-;58;58;58;-;-
01051109;Süderdeich;194;185;185;-;9;234;225;225;-;9
01051110;Süderhastedt;305;296;296;-;9;341;332;332;-;9
01051111;Süderheistedt;-;-;-;-;-;-;-;-;-;-
01051113;Wöhrden;543;519;519;-;24;632;608;608;-;24
01051114;Tellingstedt;988;941;941;-;47;1242;1168;1168;-;74
01051117;Tielenhemme;103;99;99;-;4;113;106;106;-;7
01051118;Trennewurth;138;126;126;-;12;147;135;135;-;12
01051119;Volsemenhusen;145;139;139;-;6;152;146;146;-;6
01051120;Wallen;20;20;20;-;-;20;20;20;-;-
01051121;Warwerort;186;180;180;-;6;220;214;214;-;6
01051122;Weddingstedt;877;850;847;3;27;1047;1014;1005;9;33
01051125;Welmbüttel;161;154;154;-;7;205;195;195;-;10
01051126;Wennbüttel;39;36;36;-;3;42;39;39;-;3
01051127;Wesselburen;1218;1171;1168;3;47;1612;1534;1528;6;78
01051128;Wesselburener Deichhausen;68;68;68;-;-;68;68;68;-;-
01051129;Wesselburenerkoog;126;119;119;-;7;129;122;122;-;7
01051130;Wesseln;542;534;534;-;8;603;595;595;-;8
