GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
03152026;Staufenberg, Niedersachs;2624;2594;2591;3;30;3907;3856;3835;21;51
03152401;Dransfeld, Samtgemeinde;2919;2820;2814;6;99;4398;4254;4211;43;144
03152401005;Bühren;182;176;173;3;6;236;230;221;9;6
03152401006;Dransfeld;1286;1235;1232;3;51;2121;2041;2013;28;80
03152401013;Jühnde;294;291;291;-;3;443;440;440;-;3
03152401017;Niemetal;494;476;476;-;18;681;653;647;6;28
03152401023;Scheden;663;642;642;-;21;917;890;890;-;27
03152402;Gieboldehausen, Samtgemeinde;4603;4445;4442;3;158;6147;5917;5900;17;230
03152402002;Bilshausen;756;726;726;-;30;1030;982;982;-;48
03152402003;Bodensee;256;241;241;-;15;320;305;305;-;15
03152402010;Gieboldehausen;1284;1240;1237;3;44;1847;1776;1759;17;71
03152402014;Krebeck;364;358;358;-;6;460;454;454;-;6
03152402018;Obernfeld;335;323;323;-;12;405;390;390;-;15
03152402019;Rhumspringe;606;591;591;-;15;826;796;796;-;30
03152402020;Rollshausen;319;313;313;-;6;415;409;409;-;6
03152402022;Rüdershausen;331;319;319;-;12;406;388;388;-;18
03152402028;Wollbrandshausen;202;196;196;-;6;260;251;251;-;9
03152402029;Wollershausen;150;138;138;-;12;178;166;166;-;12
03152403;Radolfshausen, Samtgemeinde;2305;2255;2255;-;50;3189;3127;3127;-;62
03152403008;Ebergötzen;611;599;599;-;12;869;854;854;-;15
03152403015;Landolfshausen;331;321;321;-;10;436;426;426;-;10
03152403024;Seeburg, Niedersachs;511;505;505;-;6;711;702;702;-;9
03152403025;Seulingen;429;416;416;-;13;578;562;562;-;16
03152403027;Waake;423;414;414;-;9;595;583;583;-;12
03153002;Bad Harzburg;5687;5449;5446;3;238;13273;12808;12718;90;465
03153003;Braunlage, Stadt;1525;1363;1360;3;162;3959;3682;3664;18;277
03153005;Goslar;10424;9914;9890;24;510;23663;22512;22305;207;1151
03153007;Langelsheim;3833;3716;3716;-;117;6612;6427;6409;18;185
03153008;Liebenburg;2883;2808;2802;6;75;4129;4017;4008;9;112
03153010;Sankt Andreasberg, Bergstadt;879;785;782;3;94;2109;1973;1841;132;136
03153012;Seesen;5771;5538;5535;3;233;10421;10012;9946;66;409
03153013;Vienenburg;3250;3151;3151;-;99;5301;5107;5107;-;194
03153016;Braunlage, Stadt;-;-;-;-;-;-;-;-;-;-
03153401;Lutter am Barenberge, Samtgemeinde;1427;1388;1385;3;39;2082;2031;2028;3;51
03153401006;Hahausen;299;296;296;-;3;417;414;414;-;3
03153401009;Lutter am Barenberge;796;767;767;-;29;1207;1169;1169;-;38
03153401014;Wallmoden;332;325;322;3;7;458;448;445;3;10
03153402;Oberharz, Samtgemeinde;4157;3899;3854;45;258;11178;10708;9319;1389;470
03153402001;Altenau, Harz;654;597;594;3;57;2267;2192;2185;7;75
03153402004;Clausthal-Zellerfeld;3007;2835;2793;42;172;7969;7618;6246;1372;351
03153402011;Schulenberg im Oberharz;124;124;124;-;0;300;297;297;-;3
03153402015;Wildemann;372;343;343;-;29;642;601;591;10;41
03153504;Harz (Landkreis Goslar), gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03154003;Büddenstedt;972;963;963;-;9;1426;1401;1401;-;25
03154010;Helmstedt;6446;6157;6154;3;289;12969;12429;12423;6;540
03154013;Königslutter am Elm;4881;4724;4724;-;157;7548;7285;7285;-;263
03154014;Lehre;3502;3446;3446;-;56;5374;5281;5281;-;93
03154019;Schöningen;3568;3434;3431;3;134;6694;6445;6442;3;249
03154401;Grasleben, Samtgemeinde;1532;1482;1482;-;50;2281;2211;2211;-;70
03154401008;Grasleben;797;770;770;-;27;1209;1173;1173;-;36
03154401015;Mariental b Helmstedt;295;276;276;-;19;525;506;506;-;19
03154401016;Querenhorst;184;184;184;-;-;226;219;219;-;7
03154401018;Rennau;256;252;252;-;4;321;313;313;-;8
03154402;Heeseberg, Samtgemeinde;1528;1494;1491;3;34;2008;1965;1950;15;43
03154402002;Beierstedt;168;168;168;-;-;218;218;218;-;-
03154402006;Gevensleben;278;269;269;-;9;347;338;338;-;9
03154402011;Ingeleben;163;160;160;-;3;183;180;180;-;3
03154402012;Jerxheim;404;392;389;3;12;572;554;539;15;18
03154402020;Söllingen;247;237;237;-;10;337;324;324;-;13
03154402023;Twieflingen;268;268;268;-;-;351;351;351;-;-
03154403;Nord-Elm, Samtgemeinde;2150;2101;2098;3;49;3048;2971;2917;54;77
03154403005;Frellstedt;290;284;284;-;6;429;420;420;-;9
03154403017;Räbke;306;303;300;3;3;413;404;389;15;9
03154403021;Süpplingen;561;552;552;-;9;914;895;856;39;19
03154403022;Süpplingenburg;236;236;236;-;-;309;309;309;-;-
03154403025;Warberg;350;332;332;-;18;455;434;434;-;21
03154403026;Wolsdorf;407;394;394;-;13;528;509;509;-;19
03154404;Velpke, Samtgemeinde;4335;4223;4223;-;112;5792;5633;5486;147;159
03154404001;Bahrdorf;722;698;698;-;24;897;864;864;-;33
03154404004;Danndorf;700;691;691;-;9;955;940;940;-;15
03154404007;Grafhorst;355;345;345;-;10;462;446;446;-;16
03154404009;Groß Twülpstedt;941;896;896;-;45;1347;1290;1158;132;57
03154404024;Velpke;1617;1593;1593;-;24;2131;2093;2078;15;38
03154501;Brunsleberfeld, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03154502;Helmstedt, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03154503;Königslutter, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03154504;Mariental, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03154506;Schöningen, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03155001;Bad Gandersheim;2977;2822;2822;-;155;5095;4798;4727;71;297
03155002;Bodenfelde;1136;1107;1107;-;29;1697;1639;1639;-;58
03155003;Dassel;3394;3281;3281;-;113;4830;4646;4646;-;184
03155004;Einbeck;7351;7037;7037;-;314;13211;12596;12593;3;615
03155005;Hardegsen;2482;2408;2408;-;74;3812;3693;3693;-;119
03155006;Kalefeld;2212;2125;2125;-;87;3056;2927;2927;-;129
03155007;Katlenburg-Lindau;2354;2252;2252;-;102;3382;3241;3226;15;141
03155008;Kreiensen;2267;2199;2193;6;68;3650;3466;3457;9;184
03155009;Moringen;2157;2062;2062;-;95;3314;3171;3110;61;143
03155010;Nörten-Hardenberg;2414;2353;2353;-;61;3992;3864;3864;-;128
03155011;Northeim;7488;7196;7184;12;292;15379;14795;14650;145;584
03155012;Uslar;4477;4277;4277;-;200;7467;7130;7124;6;337
03155013;Einbeck, Stadt;-;-;-;-;-;-;-;-;-;-
03155501;Solling (Lkr.Northeim);-;-;x;x;x;-;-;x;x;x
03156002;Bad Lauterberg im Harz;3406;3217;3217;-;189;6298;5944;5944;-;354
03156003;Bad Sachsa;2394;2251;2251;-;143;4869;4610;4610;-;259
03156009;Herzberg am Harz;4217;4040;4037;3;177;7024;6738;6723;15;286
03156011;Osterode am Harz;6859;6543;6540;3;316;12170;11584;11545;39;586
03156017;Bad Grund (Harz);-;-;-;-;-;-;-;-;-;-
03156401;Bad Grund (Harz), Samtgemeinde;2805;2695;2692;3;110;4679;4509;4506;3;170
03156401001;Bad Grund (Harz);798;761;758;3;37;1453;1399;1396;3;54
03156401004;Badenhausen;543;519;519;-;24;907;876;876;-;31
03156401005;Eisdorf;539;533;533;-;6;771;756;756;-;15
03156401007;Gittelde;597;567;567;-;30;990;941;941;-;49
03156401014;Windhausen;328;315;315;-;13;558;537;537;-;21
03156402;Hattorf am Harz, Samtgemeinde;2478;2393;2393;-;85;3436;3317;3317;-;119
03156402006;Elbingerode;141;135;135;-;6;219;210;210;-;9
03156402008;Hattorf am Harz;1328;1276;1276;-;52;1848;1777;1777;-;71
03156402010;Hörden;339;333;333;-;6;478;469;469;-;9
03156402015;Wulften;670;649;649;-;21;891;861;861;-;30
03156403;Walkenried, Samtgemeinde;1770;1707;1707;-;63;2866;2751;2751;-;115
03156403012;Walkenried;780;749;749;-;31;1227;1178;1178;-;49
03156403013;Wieda;586;566;566;-;20;890;852;852;-;38
03156403016;Zorge;404;392;392;-;12;749;721;721;-;28
03156501;Harz (Landkreis Osterode), gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03157001;Edemissen;4054;3963;3963;-;91;5451;5309;5309;-;142
03157002;Hohenhameln;2949;2871;2865;6;78;4136;4019;3952;67;117
03157003;Ilsede;3933;3864;3864;-;69;5293;5201;5201;-;92
03157004;Lahstedt;3402;3325;3325;-;77;4537;4436;4436;-;101
03157005;Lengede;3831;3757;3754;3;74;5689;5570;5536;34;119
03157006;Peine;13614;13224;13224;-;390;23832;23073;23032;41;759
03157007;Vechelde;4928;4827;4827;-;101;7395;7218;7218;-;177
03157008;Wendeburg;3071;2991;2988;3;80;4355;4235;4206;29;120
03158006;Cremlingen;4186;4114;4114;-;72;5787;5679;5662;17;108
03158037;Wolfenbüttel;12447;12109;12088;21;338;27304;26473;26097;376;831
03158039;Schladen-Werla;-;-;-;-;-;-;-;-;-;-
03158401;Asse, Samtgemeinde;3157;3093;3093;-;64;4318;4223;4223;-;95
03158401008;Denkte;978;966;966;-;12;1305;1287;1287;-;18
03158401017;Hedeper;199;190;190;-;9;261;249;249;-;12
03158401021;Kissenbrück;571;556;556;-;15;760;739;739;-;21
03158401024;Remlingen, Kr Wolfenbüttel;623;608;608;-;15;877;858;858;-;19
03158401025;Roklum;174;171;171;-;3;242;233;233;-;9
03158401029;Semmenstedt;221;215;215;-;6;296;287;287;-;9
03158401036;Wittmar;391;387;387;-;4;577;570;570;-;7
03158402;Baddeckenstedt, Samtgemeinde;3692;3618;3618;-;74;4923;4810;4810;-;113
03158402002;Baddeckenstedt;1042;1017;1017;-;25;1404;1358;1358;-;46
03158402004;Burgdorf b Salzgitter;812;787;787;-;25;1107;1076;1076;-;31
03158402011;Elbe;550;547;547;-;3;725;722;722;-;3
03158402016;Haverlah;546;534;534;-;12;745;733;733;-;12
03158402018;Heere;398;392;392;-;6;498;483;483;-;15
03158402028;Sehlde;344;341;341;-;3;444;438;438;-;6
03158403;Oderwald, Samtgemeinde;2304;2259;2256;3;45;3233;3158;3155;3;75
03158403001;Achim;260;257;257;-;3;318;315;315;-;3
03158403003;Börßum;720;693;693;-;27;1080;1032;1032;-;48
03158403005;Cramme;317;317;317;-;-;425;422;422;-;3
03158403010;Dorstadt;214;214;214;-;-;282;282;282;-;-
03158403014;Flöthe;380;374;374;-;6;509;500;500;-;9
03158403019;Heiningen b Wolfenbüttel;222;219;216;3;3;299;293;290;3;6
03158403023;Ohrum;191;185;185;-;6;320;314;314;-;6
03158403038;Börßum;-;-;-;-;-;-;-;-;-;-
03158404;Schladen, Samtgemeinde;2916;2842;2842;-;74;4538;4405;4405;-;133
03158404015;Gielde;264;264;264;-;-;363;363;363;-;-
03158404020;Hornburg, Kr Wolfenbüttel;909;878;878;-;31;1320;1271;1271;-;49
03158404026;Schladen;1456;1413;1413;-;43;2490;2406;2406;-;84
03158404034;Werlaburgdorf;287;287;287;-;-;365;365;365;-;-
03158405;Schöppenstedt, Samtgemeinde;3189;3062;3056;6;127;4762;4583;4516;67;179
03158405007;Dahlum;271;262;262;-;9;330;321;321;-;9
03158405022;Kneitlingen;293;287;284;3;6;381;372;353;19;9
03158405027;Schöppenstedt;1704;1628;1628;-;76;2834;2715;2679;36;119
03158405031;Uehrde;370;352;349;3;18;464;440;428;12;24
03158405032;Vahlberg;278;272;272;-;6;370;364;364;-;6
03158405035;Winnigstedt;273;261;261;-;12;383;371;371;-;12
03158406;Sickte, Samtgemeinde;3153;3094;3094;-;59;4903;4808;4798;10;95
03158406009;Dettum;434;434;434;-;-;590;590;590;-;-
03158406012;Erkerode;339;333;333;-;6;433;427;423;4;6
03158406013;Evessen;445;439;439;-;6;597;582;582;-;15
03158406030;Sickte;1576;1538;1538;-;38;2828;2766;2760;6;62
03158406033;Veltheim (Ohe);359;350;350;-;9;455;443;443;-;12
03158501;Am Großen Rhode, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03158502;Barnstorf-Warle, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03158503;Voigtsdahlum, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03241001;Hannover, Landeshauptstadt;67603;65652;65500;152;1951;289126;282007;276324;5683;7119
03241002;Barsinghausen;9134;8920;8917;3;214;16611;16158;16124;34;453
03241003;Burgdorf, Region Hannover;7802;7559;7559;-;243;14526;14089;14089;-;437
03241004;Burgwedel;6175;6034;6034;-;141;9406;9121;9079;42;285
03241005;Garbsen;13657;13328;13322;6;329;29446;28752;28647;105;694
03241006;Gehrden, Han;3678;3593;3587;6;85;7192;7013;6992;21;179
03241007;Hemmingen, Han;5372;5268;5268;-;104;8890;8735;8728;7;155
03241008;Isernhagen;6961;6729;6714;15;232;10673;10243;10204;39;430
03241009;Laatzen;7697;7543;7543;-;154;19539;19147;19135;12;392
03241010;Langenhagen, Han;11111;10846;10840;6;265;25524;24978;24868;110;546
03241011;Lehrte;11184;10930;10918;12;254;20736;20159;20010;149;577
03241012;Neustadt am Rübenberge;12886;12466;12457;9;420;20601;19884;19802;82;717
03241013;Pattensen;4177;4110;4110;-;67;6593;6475;6465;10;118
03241014;Ronnenberg;5532;5424;5421;3;108;11256;11063;11032;31;193
03241015;Seelze;6935;6787;6784;3;148;16583;16209;16010;199;374
03241016;Sehnde;6402;6268;6268;-;134;9839;9623;9623;-;216
03241017;Springe;8359;8118;8118;-;241;14478;14035;14006;29;443
03241018;Uetze;6277;6091;6091;-;186;8938;8592;8565;27;346
03241019;Wedemark;9075;8825;8822;3;250;13241;12825;12806;19;416
03241020;Wennigsen (Deister);4221;4122;4122;-;99;6733;6553;6553;-;180
03241021;Wunstorf;11583;11249;11246;3;334;20270;19731;19698;33;539
03251007;Bassum;5073;4886;4886;-;187;6927;6637;6637;-;290
03251012;Diepholz;4821;4630;4624;6;191;7518;7192;7174;18;326
03251037;Stuhr;10878;10613;10607;6;265;15286;14827;14740;87;459
03251040;Sulingen;3779;3608;3605;3;171;5765;5492;5477;15;273
03251041;Syke;7463;7233;7224;9;230;10853;10407;10377;30;446
03251042;Twistringen;3873;3740;3737;3;133;5282;5069;5060;9;213
03251044;Wagenfeld;2136;2001;1998;3;135;2819;2639;2636;3;180
03251047;Weyhe;9542;9322;9312;10;220;14140;13785;13691;94;355
03251401;Altes Amt Lemförde, Samtgemeinde;2968;2816;2816;-;152;4292;4065;4065;-;227
03251401009;Brockum;321;300;300;-;21;432;408;408;-;24
03251401020;Hüde;571;550;550;-;21;812;762;762;-;50
03251401022;Lembruch;668;628;628;-;40;947;888;888;-;59
03251401023;Lemförde;843;797;797;-;46;1300;1236;1236;-;64
03251401025;Marl, Dümmer;235;225;225;-;10;340;324;324;-;16
03251401029;Quernheim;123;123;123;-;-;181;181;181;-;-
03251401036;Stemshorn;207;193;193;-;14;280;266;266;-;14
03251402;Barnstorf, Samtgemeinde;3876;3713;3704;9;163;5209;4981;4857;124;228
03251402005;Barnstorf;1984;1901;1892;9;83;2897;2768;2644;124;129
03251402013;Drebber;965;929;929;-;36;1208;1163;1163;-;45
03251402014;Drentwede;327;304;304;-;23;406;376;376;-;30
03251402017;Eydelstedt;600;579;579;-;21;698;674;674;-;24
03251403;Bruchhausen-Vilsen, Samtgemeinde;5494;5139;5139;-;355;7592;7075;6990;85;517
03251403002;Asendorf b Bruchhausen-Vilsen;971;875;875;-;96;1322;1205;1170;35;117
03251403010;Bruchhausen-Vilsen, Flecken;1955;1869;1869;-;86;2939;2801;2751;50;138
03251403016;Engeln;377;346;346;-;31;466;423;423;-;43
03251403026;Martfeld;891;819;819;-;72;1169;1051;1051;-;118
03251403033;Schwarme;798;751;751;-;47;1058;990;990;-;68
03251403039;Süstedt;502;479;479;-;23;638;605;605;-;33
03251403048;Bruchhausen-Vilsen, Flecken;-;-;-;-;-;-;-;-;-;-
03251404;Kirchdorf, Samtgemeinde;2320;2201;2201;-;119;3066;2901;2901;-;165
03251404003;Bahrenborstel;358;336;336;-;22;449;424;424;-;25
03251404004;Barenburg;434;428;428;-;6;556;544;544;-;12
03251404018;Freistatt;103;100;100;-;3;154;151;151;-;3
03251404021;Kirchdorf b Sulingen;689;650;650;-;39;981;923;923;-;58
03251404043;Varrel;463;432;432;-;31;597;554;554;-;43
03251404045;Wehrbleck;273;255;255;-;18;329;305;305;-;24
03251405;Rehden, Samtgemeinde;1872;1794;1794;-;78;2295;2192;2188;4;103
03251405006;Barver;365;341;341;-;24;457;424;424;-;33
03251405011;Dickel;144;144;144;-;-;177;177;177;-;-
03251405019;Hemsloh;183;174;174;-;9;238;222;222;-;16
03251405030;Rehden;613;583;583;-;30;758;722;718;4;36
03251405046;Wetschen;567;552;552;-;15;665;647;647;-;18
03251406;Schwaförden, Samtgemeinde;2314;2216;2216;-;98;2839;2705;2705;-;134
03251406001;Affinghausen;293;286;286;-;7;354;347;347;-;7
03251406015;Ehrenburg;509;484;484;-;25;655;618;618;-;37
03251406028;Neuenkirchen b Bassum;407;398;398;-;9;466;451;451;-;15
03251406031;Scholen;250;238;238;-;12;318;297;297;-;21
03251406032;Schwaförden;518;496;496;-;22;627;605;605;-;22
03251406038;Sudwalde;337;314;314;-;23;419;387;387;-;32
03251407;Siedenburg, Samtgemeinde;1475;1400;1397;3;75;1903;1809;1788;21;94
03251407008;Borstel b Sulingen;393;369;366;3;24;530;503;482;21;27
03251407024;Maasen;148;133;133;-;15;197;173;173;-;24
03251407027;Mellinghausen;353;342;342;-;11;442;427;427;-;15
03251407034;Siedenburg;413;394;394;-;19;525;503;503;-;22
03251407035;Staffhorst;168;162;162;-;6;209;203;203;-;6
03252001;Aerzen;3200;3103;3100;3;97;5414;5237;5234;3;177
03252002;Bad Münder a. D.;5599;5422;5422;-;177;9196;8888;8888;-;308
03252003;Bad Pyrmont;4843;4595;4586;9;248;11308;10748;10530;218;560
03252004;Coppenbrügge;2414;2345;2342;3;69;3508;3417;3366;51;91
03252005;Emmerthal;3119;3039;3036;3;80;5036;4913;4907;6;123
03252006;Hameln;14005;13517;13502;15;488;31156;30051;29940;111;1105
03252007;Hessisch Oldendorf;5713;5546;5543;3;167;9062;8765;8668;97;297
03252008;Salzhemmendorf;3355;3268;3262;6;87;4776;4643;4618;25;133
03254002;Alfeld (Leine);5594;5378;5375;3;216;10341;9927;9902;25;414
03254003;Algermissen;2622;2571;2571;-;51;3516;3447;3436;11;69
03254005;Bad Salzdetfurth;4230;4085;4085;-;145;6621;6380;6370;10;241
03254008;Bockenem;3364;3260;3251;9;104;4935;4776;4758;18;159
03254011;Diekholzen;2065;2043;2043;-;22;3080;3022;3000;22;58
03254014;Elze;2743;2658;2655;3;85;4398;4238;4235;3;160
03254017;Giesen;2774;2700;2697;3;74;4485;4348;4326;22;137
03254020;Harsum;3586;3498;3498;-;88;5153;5037;5037;-;116
03254021;Hildesheim;19141;18435;18408;27;706;53773;51683;51128;555;2090
03254022;Holle;2347;2262;2262;-;85;3243;3131;3131;-;112
03254026;Nordstemmen;3863;3773;3770;3;90;5836;5685;5673;12;151
03254028;Sarstedt;4618;4472;4472;-;146;8925;8681;8480;201;244
03254029;Schellerten;2688;2605;2605;-;83;3745;3630;3630;-;115
03254032;Söhlde;2535;2470;2467;3;65;3608;3488;3479;9;120
03254401;Freden (Leine), Samtgemeinde;1641;1577;1577;-;64;2515;2436;2436;-;79
03254401015;Everode;181;175;175;-;6;238;232;232;-;6
03254401016;Freden (Leine);1049;1014;1014;-;35;1685;1641;1641;-;44
03254401024;Landwehr;215;198;198;-;17;269;252;252;-;17
03254401034;Winzenburg;196;190;190;-;6;323;311;311;-;12
03254402;Gronau (Leine), Samtgemeinde;4404;4265;4262;3;139;6961;6758;6755;3;203
03254402006;Banteln;491;473;473;-;18;751;726;726;-;25
03254402007;Betheln;344;334;334;-;10;488;475;475;-;13
03254402009;Brüggen, Leine;310;310;310;-;-;453;446;446;-;7
03254402010;Despetal;455;445;445;-;10;646;632;632;-;14
03254402013;Eime;916;888;888;-;28;1294;1263;1263;-;31
03254402018;Gronau (Leine);1483;1417;1417;-;66;2733;2630;2630;-;103
03254402027;Rheden;405;398;395;3;7;596;586;583;3;10
03254403;Lamspringe, Samtgemeinde;1918;1830;1830;-;88;2788;2628;2628;-;160
03254403019;Harbarnsen;204;201;201;-;3;274;256;256;-;18
03254403023;Lamspringe;983;927;927;-;56;1533;1429;1429;-;104
03254403025;Neuhof b Hildesheim;132;128;128;-;4;184;180;180;-;4
03254403030;Sehlem, Niedersachs;302;283;283;-;19;413;388;388;-;25
03254403035;Woltershausen;297;291;291;-;6;384;375;375;-;9
03254404;Sibbesse, Samtgemeinde;2114;2073;2070;3;41;2820;2755;2748;7;65
03254404001;Adenstedt;362;352;349;3;10;466;453;446;7;13
03254404004;Almstedt;315;312;312;-;3;395;392;392;-;3
03254404012;Eberholzen;209;209;209;-;-;267;264;264;-;3
03254404031;Sibbesse;898;879;879;-;19;1267;1236;1236;-;31
03254404033;Westfeld;330;321;321;-;9;425;410;410;-;15
03254405;Duingen, Samtgemeinde;1797;1748;1748;-;49;2635;2553;2547;6;82
03254405036;Coppengrave;233;227;227;-;6;359;350;350;-;9
03254405037;Duingen;968;946;946;-;22;1461;1412;1412;-;49
03254405038;Hoyershausen;177;170;170;-;7;233;223;223;-;10
03254405039;Marienhagen;281;271;271;-;10;396;386;380;6;10
03254405040;Weenzen;138;134;134;-;4;186;182;182;-;4
03255008;Delligsen;2633;2549;2549;-;84;4114;3989;3989;-;125
03255023;Holzminden;5373;5138;5135;3;235;11228;10703;10654;49;525
03255401;Bevern, Samtgemeinde;2051;1997;1994;3;54;3142;3024;3015;9;118
03255401002;Bevern, Kr Holzminden;1295;1265;1265;-;30;2073;2019;2019;-;54
03255401015;Golmbach;352;352;349;3;0;488;488;479;9;0
03255401021;Holenberg;157;154;154;-;3;213;203;203;-;10
03255401030;Negenborn;247;226;226;-;21;368;314;314;-;54
03255402;Bodenwerder, Samtgemeinde;-;-;-;-;-;-;-;-;-;-
03255402003;Bodenwerder;-;-;-;-;-;-;-;-;-;-
03255402016;Halle, Kr Holzminden;-;-;-;-;-;-;-;-;-;-
03255402017;Hehlen;-;-;-;-;-;-;-;-;-;-
03255402020;Heyen;-;-;-;-;-;-;-;-;-;-
03255402025;Kirchbrak;-;-;-;-;-;-;-;-;-;-
03255402032;Pegestorf;-;-;-;-;-;-;-;-;-;-
03255403;Boffzen, Samtgemeinde;2153;2075;2072;3;78;3532;3398;3374;24;134
03255403004;Boffzen;871;844;841;3;27;1383;1347;1335;12;36
03255403009;Derental;234;234;234;-;-;335;332;332;-;3
03255403014;Fürstenberg;349;328;328;-;21;618;585;585;-;33
03255403026;Lauenförde;699;669;669;-;30;1196;1134;1122;12;62
03255405;Eschershausen, Samtgemeinde;-;-;-;-;-;-;-;-;-;-
03255405010;Dielmissen;-;-;-;-;-;-;-;-;-;-
03255405012;Eimen;-;-;-;-;-;-;-;-;-;-
03255405013;Eschershausen, Stadt;-;-;-;-;-;-;-;-;-;-
03255405022;Holzen;-;-;-;-;-;-;-;-;-;-
03255405028;Lüerdissen;-;-;-;-;-;-;-;-;-;-
03255406;Polle, Samtgemeinde;-;-;-;-;-;-;-;-;-;-
03255406005;Brevörde;-;-;-;-;-;-;-;-;-;-
03255406019;Heinsen;-;-;-;-;-;-;-;-;-;-
03255406031;Ottenstein;-;-;-;-;-;-;-;-;-;-
03255406033;Polle;-;-;-;-;-;-;-;-;-;-
03255406035;Vahlbruch;-;-;-;-;-;-;-;-;-;-
03255407;Stadtoldendorf, Samtgemeinde;-;-;-;-;-;-;-;-;-;-
03255407001;Arholzen;-;-;-;-;-;-;-;-;-;-
03255407007;Deensen;-;-;-;-;-;-;-;-;-;-
03255407018;Heinade;-;-;-;-;-;-;-;-;-;-
03255407027;Lenne;-;-;-;-;-;-;-;-;-;-
03255407034;Stadtoldendorf, Stadt;-;-;-;-;-;-;-;-;-;-
03255407036;Wangelnstedt;-;-;-;-;-;-;-;-;-;-
03255408;Bodenwerder-Polle, Samtgemeinde;5290;5080;5077;3;210;8012;7650;7641;9;362
03255408003;Bodenwerder, Stadt;1738;1664;1664;-;74;3021;2859;2856;3;162
03255408005;Brevörde;255;252;252;-;3;365;362;362;-;3
03255408016;Halle, Kr Holzminden;598;580;580;-;18;809;785;785;-;24
03255408017;Hehlen;679;659;656;3;20;989;957;951;6;32
03255408019;Heinsen;296;281;281;-;15;442;421;421;-;21
03255408020;Heyen;174;171;171;-;3;232;225;225;-;7
03255408025;Kirchbrak;374;362;362;-;12;508;490;490;-;18
03255408031;Ottenstein;428;394;394;-;34;591;545;545;-;46
03255408032;Pegestorf;158;152;152;-;6;221;209;209;-;12
03255408033;Polle;419;403;403;-;16;618;590;590;-;28
03255408035;Vahlbruch;171;162;162;-;9;216;207;207;-;9
03255409;Eschershausen-Stadtoldendorf, Samtgemeinde;5460;5286;5283;3;174;8205;7921;7903;18;284
03255409001;Arholzen;156;150;150;-;6;204;198;198;-;6
03255409007;Deensen;511;499;499;-;12;693;675;675;-;18
03255409010;Dielmissen;281;272;272;-;9;380;368;368;-;12
03255409012;Eimen;340;333;333;-;7;473;463;457;6;10
03255409013;Eschershausen, Stadt;1247;1204;1201;3;43;1898;1828;1816;12;70
03255409018;Heinade;359;350;350;-;9;463;451;451;-;12
03255409022;Holzen;229;226;226;-;3;300;297;297;-;3
03255409027;Lenne;250;237;237;-;13;367;354;354;-;13
03255409028;Lüerdissen;155;155;155;-;-;221;218;218;-;3
03255409034;Stadtoldendorf, Stadt;1704;1635;1635;-;69;2920;2786;2786;-;134
03255409036;Wangelnstedt;228;225;225;-;3;286;283;283;-;3
03255501;Boffzen, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03255502;Eimen, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03255503;Eschershausen, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03255504;Grünenplan, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03255505;Holzminden, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03255506;Merxhausen, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03255508;Wenzen, gem.fr. Geb.;-;-;x;x;x;-;-;x;x;x
03256022;Nienburg (Weser);8572;8262;8259;3;310;15580;14946;14937;9;634
03256025;Rehburg-Loccum;3121;2984;2978;6;137;4517;4308;4292;16;209
03256030;Steyerberg;1735;1670;1670;-;65;2376;2282;2276;6;94
