AGS;Name;Insgesamt;Fernheizung (Fernwärme);Etagenheizung;Blockheizung;Zentralheizung;Einzel-oder Mehrraumöfen;keine Heizung im Gebäude
01059063;Norderbrarup;227;7;-;4;207;9;-
01059064;Norderstapel;313;20;-;3;269;21;-
01059065;Nottfeld;37;-;-;-;37;-;-
01059067;Oersberg;99;4;-;-;92;3;-
01059068;Rabenkirchen-Faulück;265;6;6;3;211;36;3
01059069;Rüde;119;-;-;-;100;19;-
01059070;Rügge;94;3;-;-;67;24;-
01059071;Satrup;1228;146;46;12;990;34;-
01059072;Saustrup;80;-;-;3;71;6;-
01059073;Schaalby;594;112;24;3;446;6;3
01059074;Scheggerott;147;3;3;-;109;25;7
01059075;Schleswig;5941;399;496;73;4904;66;3
01059076;Schnarup-Thumby;205;6;4;3;171;21;-
01059077;Schuby;904;166;24;20;668;26;-
01059078;Selk;342;28;-;7;294;7;6
01059079;Silberstedt;794;89;14;12;603;73;3
01059080;Steinfeld;256;19;6;3;219;9;-
01059081;Stolk;280;-;3;-;271;6;-
01059082;Struxdorf;251;10;3;-;223;15;-
01059083;Süderbrarup;1367;110;35;18;1145;59;-
01059084;Süderfahrenstedt;177;10;3;4;140;20;-
01059085;Süderstapel;448;6;9;3;418;12;-
01059086;Taarstedt;301;10;12;-;270;9;-
01059087;Tetenhusen;342;49;15;4;259;15;-
01059088;Tielen;122;-;-;-;99;19;4
01059090;Tolk;351;12;17;-;310;12;-
01059092;Treia;573;42;20;9;474;25;3
01059093;Ülsby;144;-;3;-;122;16;3
01059094;Ulsnis;359;6;9;3;253;85;3
01059095;Wagersrott;84;3;-;3;66;12;-
01059096;Wohlde;201;-;-;-;194;7;-
01059097;Twedt;176;3;6;-;158;9;-
01059098;Nübel;439;6;6;-;417;10;-
01059101;Tastrup;139;48;-;-;82;9;-
01059102;Ahneby;65;-;-;-;59;6;-
01059103;Ausacker;183;-;3;-;167;13;-
01059105;Böxlund;24;4;-;4;16;-;-
01059106;Dollerup;364;6;10;6;324;18;-
01059107;Eggebek;719;52;28;17;606;16;-
01059109;Esgrus;322;-;6;6;260;47;3
01059112;Gelting;769;78;13;9;589;80;-
01059113;Glücksburg (Ostsee);1867;999;-;22;771;75;-
01059115;Großenwiehe;968;147;12;24;748;37;-
01059116;Großsolt;597;23;12;6;526;30;-
01059118;Grundhof;344;18;-;-;305;21;-
01059120;Harrislee;2790;2187;23;30;519;31;-
01059121;Hasselberg;344;4;-;3;311;23;3
01059123;Hörup;208;3;-;4;197;4;-
01059124;Holt;63;-;-;-;57;6;-
01059126;Hürup;417;9;9;18;357;24;-
01059127;Husby;725;69;6;23;608;19;-
01059128;Janneby;146;3;3;-;110;30;-
01059129;Jardelund;107;31;-;-;69;7;-
01059131;Jerrishoe;313;10;-;9;281;13;-
01059132;Jörl;254;7;10;13;212;12;-
01059136;Kronsgaard;156;-;-;-;132;24;-
01059137;Langballig;565;180;9;12;310;51;3
01059138;Langstedt;334;16;0;3;302;13;-
01059141;Maasbüll;255;3;9;9;214;20;-
01059142;Maasholm;448;-;12;6;284;146;-
01059143;Medelby;325;15;9;3;282;13;3
01059144;Meyn;217;6;9;6;193;3;-
01059145;Munkbrarup;385;27;0;25;318;12;3
01059147;Nieby;93;-;6;3;73;11;-
01059148;Niesgrau;254;9;3;-;209;33;-
01059149;Nordhackstedt;158;10;10;3;129;6;-
01059151;Osterby;105;0;-;-;105;-;-
01059152;Pommerby;74;-;-;-;57;17;-
01059153;Quern;513;7;3;9;432;62;-
01059154;Rabel;218;17;6;-;184;11;-
01059155;Rabenholz;108;3;3;-;87;15;-
01059157;Ringsberg;176;11;3;3;150;6;3
01059158;Schafflund;791;117;22;30;602;20;-
01059159;Sieverstedt;532;6;-;6;482;38;-
01059161;Sörup;1418;145;19;13;1145;96;-
01059162;Sollerup;161;4;3;-;142;12;-
01059163;Stangheck;104;4;6;3;68;23;-
01059164;Steinberg;403;9;6;-;334;50;4
01059165;Steinbergkirche;531;15;19;3;465;29;-
01059167;Sterup;518;15;3;3;470;27;-
01059168;Stoltebüll;288;17;-;-;206;65;-
01059169;Süderhackstedt;105;4;3;-;88;10;-
01059171;Tarp;1483;396;33;40;942;72;-
01059173;Wallsbüll;317;-;6;-;296;15;-
01059174;Wanderup;771;39;12;15;664;41;-
01059176;Wees;809;117;30;12;636;14;-
