AGS;Name;Insgesamt;Fernheizung (Fernwärme);Etagenheizung;Blockheizung;Zentralheizung;Einzel-oder Mehrraumöfen;keine Heizung im Gebäude
0713304087;Rümmelsheim;469;6;12;3;377;64;7
0713304114;Windesheim;614;27;21;-;534;29;3
0713305;Meisenheim, Verbandsgem.;2980;46;43;19;2280;536;56
0713305001;Abtweiler;89;-;-;-;81;8;-
0713305011;Becherbach;366;-;-;3;266;91;6
0713305017;Breitenheim;168;-;3;-;132;30;3
0713305020;Callbach;161;-;-;-;124;31;6
0713305024;Desloch;139;-;3;3;115;18;-
0713305049;Hundsbach;173;-;3;4;137;25;4
0713305051;Jeckenbach;96;-;-;-;84;12;-
0713305058;Lettweiler;93;-;-;-;66;18;9
0713305060;Löllbach;91;-;-;-;55;27;9
0713305065;Meisenheim;885;36;28;3;682;126;10
0713305081;Raumbach;168;-;3;-;124;38;3
0713305083;Rehborn;307;10;3;3;237;51;3
0713305084;Reiffelbach;96;-;-;-;67;26;3
0713305090;Schmittweiler;81;-;-;3;50;28;-
0713305092;Schweinschied;67;-;-;-;60;7;-
0713306;Rüdesheim, Verbandsgem.;8476;182;162;12;7169;848;103
0713306002;Allenfeld;65;-;-;-;59;6;-
0713306004;Argenschwang;139;-;-;-;109;24;6
0713306013;Bockenau;455;24;3;-;363;58;7
0713306014;Boos, Nahe;152;-;-;-;134;9;9
0713306015;Braunweiler;225;6;3;-;185;31;-
0713306019;Burgsponheim;99;3;-;-;77;19;-
0713306021;Dalberg;88;-;3;-;65;13;7
0713306033;Gebroth;62;-;-;-;53;6;3
0713306036;Gutenberg;325;6;9;-;301;9;-
0713306040;Hargesheim;894;34;24;3;776;57;-
0713306044;Hergenfeld;172;-;-;-;157;15;-
0713306048;Hüffelsheim;450;6;12;-;398;34;-
0713306061;Mandel;309;-;-;-;266;33;10
0713306068;Münchwald;126;-;3;3;114;6;-
0713306075;Oberstreit;97;-;3;3;78;13;-
0713306086;Roxheim;732;21;23;-;647;38;3
0713306088;Sankt Katharinen;142;3;3;-;118;18;-
0713306089;Schloßböckelheim;160;-;6;-;113;32;9
0713306098;Sommerloch;147;-;-;-;144;3;-
0713306099;Spabrücken;411;3;3;-;370;32;3
0713306100;Spall;59;-;-;-;34;25;-
0713306101;Sponheim;279;-;9;-;217;50;3
0713306107;Waldböckelheim;776;24;3;-;630;110;9
0713306109;Wallhausen, Kr Bad Kreuznach;552;13;3;-;472;51;13
0713306112;Weinsheim, Kr Bad Kreuznach;631;10;9;-;555;48;9
0713306115;Winterbach, Kr Bad Kreuznach;195;-;3;-;141;45;6
0713306117;Rüdesheim;734;29;40;3;593;63;6
0713307;Bad Sobernheim, Verbandsgem.;6261;166;135;15;5093;744;108
0713307005;Auen;84;-;-;-;75;9;-
0713307009;Bärweiler;99;-;-;-;78;18;3
0713307022;Daubach, Hunsrück;78;-;-;-;72;0;6
0713307050;Ippenschied;44;-;3;-;24;13;4
0713307053;Kirschroth;123;3;-;-;99;21;-
0713307055;Langenthal;38;-;-;-;26;6;6
0713307057;Lauschied;220;6;-;-;182;22;10
0713307062;Martinstein;107;-;-;-;98;9;-
0713307064;Meddersheim;487;15;-;-;426;43;3
0713307066;Merxheim;552;20;22;-;445;62;3
0713307067;Monzingen;556;33;12;-;395;99;17
0713307072;Nußbaum;164;6;4;-;132;22;-
0713307076;Odernheim am Glan;674;21;19;3;547;75;9
0713307082;Rehbach;16;-;-;-;12;4;-
0713307094;Seesbach;205;-;-;3;177;25;-
0713307102;Staudernheim;557;16;9;-;431;83;18
0713307111;Weiler bei Monzingen;173;-;-;-;154;16;3
0713307116;Winterburg;97;-;-;-;78;16;3
0713307501;Bad Sobernheim;1987;46;66;9;1642;201;23
0713308;Stromberg, Verbandsgem.;3603;91;116;0;3059;280;57
0713308023;Daxweiler;304;-;3;-;267;31;3
0713308025;Dörrebach;273;-;-;-;225;42;6
0713308028;Eckenroth;93;-;3;-;86;-;4
0713308085;Roth b Stromberg, Hunsrück;105;-;3;-;82;16;4
0713308091;Schöneberg, Hunsrück;244;-;3;-;229;12;-
0713308093;Schweppenhausen;322;3;13;-;280;26;-
0713308095;Seibersbach;512;4;-;-;454;51;3
0713308103;Stromberg;1269;81;76;-;1055;40;17
0713308108;Waldlaubersheim;318;3;15;-;257;37;6
0713308110;Warmsroth;163;-;-;-;124;25;14
0713400045;Idar-Oberstein, verbandsfr. Gemeinde;9643;137;428;25;8258;733;62
0713401;Baumholder, Verbandsgem.;3463;34;16;23;3044;308;38
0713401005;Baumholder;1346;34;6;7;1221;68;10
0713401007;Berglangenbach;163;-;-;9;139;6;9
0713401008;Berschweiler bei Baumholder;213;-;-;-;198;15;-
0713401021;Eckersweiler;76;-;-;-;73;3;-
0713401026;Fohren-Linden;124;-;-;-;107;17;-
0713401027;Frauenberg;150;-;-;-;125;22;3
0713401033;Hahnweiler;78;-;-;-;69;9;-
0713401036;Heimbach, Nahe;431;-;6;4;360;61;-
0713401051;Leitzweiler;41;-;-;-;31;10;-
0713401054;Mettweiler;110;-;4;-;79;24;3
0713401068;Reichenbach, Kr Birkenfeld, Nahe;209;-;-;-;180;26;3
0713401073;Rohrbach, Nahe;77;-;-;-;58;16;3
0713401074;Rückweiler;130;-;-;-;127;0;3
0713401075;Ruschberg;315;-;-;3;277;31;4
0713402;Birkenfeld, Verbandsgem.;6558;61;47;9;5730;627;84
0713402001;Abentheuer;163;-;-;-;154;9;-
0713402002;Achtelsbach;163;-;-;-;142;15;6
0713402010;Birkenfeld, Nahe;1787;32;22;3;1611;104;15
0713402011;Börfink;93;-;-;-;71;19;3
0713402015;Brücken;467;4;6;-;424;30;3
0713402016;Buhlenberg;186;-;-;-;155;24;7
0713402018;Dambach;62;-;3;-;53;6;-
0713402020;Dienstweiler;100;-;-;-;86;10;4
0713402022;Elchweiler;42;-;-;-;38;4;-
0713402023;Ellenberg b Birkenfeld, Nahe;29;-;-;3;17;9;-
0713402024;Ellweiler;101;-;4;-;85;12;-
0713402029;Gimbweiler;164;-;-;-;149;9;6
0713402031;Gollenberg;42;-;3;-;32;7;-
0713402034;Hattgenstein;94;-;-;-;72;19;3
0713402042;Hoppstädten-Weiersbach;832;13;6;-;730;76;7
0713402048;Kronweiler;135;-;-;-;114;18;3
0713402050;Leisel;192;3;-;-;172;14;3
0713402053;Meckenbach Kr Birkenfeld, Nahe;53;-;-;-;47;6;-
0713402057;Niederbrombach;200;-;3;-;154;40;3
0713402058;Niederhambach;135;-;-;-;120;12;3
0713402061;Nohen;143;-;-;-;122;21;-
0713402062;Oberbrombach;183;-;-;-;160;19;4
0713402063;Oberhambach;117;-;-;-;104;13;-
0713402070;Rimsberg;48;-;-;-;42;6;-
0713402071;Rinzenberg;128;3;-;-;107;14;4
0713402072;Rötsweiler-Nockenthal;185;-;-;3;141;41;-
0713402078;Schmißberg;89;-;-;-;77;12;-
0713402080;Schwollen;184;3;-;-;169;12;-
0713402084;Siesbach;146;3;-;-;132;11;-
0713402085;Sonnenberg-Winnenberg;193;-;-;-;172;18;3
0713402094;Wilzenberg-Hußweiler;102;-;-;-;78;17;7
0713403;Herrstein, Verbandsgem.;6183;30;35;21;5328;673;96
0713403003;Allenbach;260;-;-;3;221;29;7
0713403006;Bergen b Kirn, Nahe;182;-;3;-;173;6;-
0713403009;Berschweiler bei Kirn;103;-;-;-;88;9;6
0713403013;Breitenthal  b Idar Oberstein;115;-;-;-;105;10;-
0713403014;Bruchweiler;185;3;-;-;152;27;3
0713403019;Dickesbach;157;-;-;-;138;16;3
0713403025;Fischbach b Idar-Oberstein;375;-;12;-;303;57;3
0713403028;Gerach b Idar-Oberstein;95;-;-;3;82;10;-
0713403032;Griebelschied;73;-;-;-;63;7;3
0713403038;Herborn b Idar-Oberstein;213;-;-;-;180;22;11
0713403039;Herrstein;272;-;-;-;229;39;4
0713403040;Hettenrodt;273;-;-;-;260;10;3
0713403041;Hintertiefenbach;130;3;4;-;103;20;-
0713403046;Kempfeld;328;-;-;-;271;51;6
0713403047;Kirschweiler;402;-;-;-;373;29;-
0713403052;Mackenrodt;147;-;-;3;122;22;-
0713403055;Mittelreidenbach;270;6;6;3;252;3;-
0713403056;Mörschied;298;3;-;-;257;35;3
0713403059;Niederhosenbach;123;-;-;-;95;25;3
0713403060;Niederwörresbach;342;6;-;-;311;21;4
0713403064;Oberhosenbach;62;-;-;-;56;6;-
0713403066;Oberreidenbach;221;-;3;-;184;28;6
0713403067;Oberwörresbach;59;6;-;-;53;-;-
0713403077;Schmidthachenbach;146;-;-;-;120;26;-
0713403081;Sensweiler;172;-;-;3;130;36;3
0713403082;Sien;206;-;3;-;176;24;3
0713403083;Sienhachenbach;81;-;-;-;72;9;-
0713403086;Sonnschied;48;-;-;-;41;7;-
0713403089;Veitsrodt;256;3;4;-;221;21;7
0713403090;Vollmersbach;224;-;-;6;201;17;-
0713403091;Weiden;51;-;-;-;42;9;-
0713403093;Wickenrodt;72;-;-;-;69;3;-
0713403095;Wirschweiler;146;-;-;-;109;19;18
0713403502;Langweiler b Idar-Oberstein;96;-;-;-;76;20;-
0713404;Rhaunen, Verbandsgem.;2720;12;37;12;2122;489;48
0713404004;Asbach, Hunsrück;52;-;-;-;37;15;-
0713404012;Bollenbach;65;-;-;-;53;12;-
0713404017;Bundenbach;385;-;3;-;312;60;10
0713404030;Gösenroth;96;-;-;-;84;12;-
0713404035;Hausen, Hunsrück;82;-;-;-;50;29;3
0713404037;Hellertshausen;85;-;-;-;67;14;4
0713404043;Horbruch;134;-;6;-;110;18;-
0713404044;Hottenbach;231;-;-;-;205;20;6
0713404049;Krummenau;53;-;-;-;44;9;-
0713404065;Oberkirn;150;3;6;-;94;44;3
0713404069;Rhaunen;687;9;22;12;521;123;-
0713404076;Schauren b Idar-Oberstein;201;-;-;-;171;27;3
0713404079;Schwerbach;12;-;-;-;6;3;3
0713404087;Stipshausen;332;-;-;-;259;70;3
0713404088;Sulzbach b Idar-Oberstein;114;-;-;-;90;21;3
0713404092;Weitersbach;41;-;-;-;19;12;10
0713500020;Cochem, verbandsfr. Gemeinde;-;-;-;-;-;-;-
0713501;Cochem-Land, Verbandsgem.;5947;76;172;31;4776;798;94
0713501007;Beilstein, Mosel;75;-;-;-;60;15;-
0713501012;Bremm;373;-;-;3;280;74;16
0713501015;Briedern;136;-;3;-;115;15;3
0713501017;Bruttig-Fankel;457;3;6;-;363;76;9
0713501020;Cochem, Stadt;1587;22;115;6;1349;89;6
0713501021;Dohr;231;3;6;-;215;7;-
0713501024;Ediger-Eller;510;3;9;9;323;151;15
0713501025;Ellenz-Poltersdorf;355;-;3;3;287;56;6
0713501027;Ernst;250;-;6;-;219;19;6
0713501029;Faid;365;27;6;-;317;12;3
0713501036;Greimersburg;274;3;3;7;224;37;-
0713501049;Klotten;576;9;6;3;453;93;12
0713501060;Mesenich;148;-;6;-;89;47;6
0713501069;Nehren, Mosel;45;-;-;-;39;6;-
0713501079;Senheim;276;-;3;-;213;51;9
0713501086;Valwig;191;6;-;-;167;18;-
0713501090;Wirfus;98;-;-;-;63;32;3
0713502;Kaisersesch, Verbandsgem.;4601;32;45;27;3687;723;87
0713502011;Brachtendorf;108;-;-;-;90;15;3
0713502023;Düngenheim;416;3;6;-;331;76;-
0713502026;Eppenberg;106;-;-;3;75;22;6
0713502028;Eulgem;60;-;-;-;54;3;3
0713502033;Gamlen;202;-;3;-;180;16;3
0713502038;Hambuch;243;-;-;-;184;59;-
0713502040;Hauroth;139;-;-;3;102;34;-
0713502042;Illerich;265;3;6;-;217;33;6
0713502043;Kaifenheim;300;13;6;3;221;48;9
0713502045;Kaisersesch;923;7;6;6;771;111;22
0713502046;Kalenborn b Kaisersesch;103;-;3;-;76;17;7
0713502051;Landkern;362;-;3;-;303;50;6
0713502052;Laubach, Eifel;273;-;-;3;222;48;-
0713502058;Masburg;413;3;9;3;336;56;6
0713502067;Müllenbach b Mayen;286;3;-;-;199;75;9
0713502084;Urmersbach;173;-;3;3;134;26;7
0713502093;Zettingen;95;-;-;3;83;9;-
0713502502;Leienkaul;134;-;-;-;109;25;-
0713503;Ulmen, Verbandsgem.;3937;59;72;13;3279;450;64
0713503002;Alflen;315;-;-;-;273;39;3
0713503005;Auderath;212;-;3;-;185;24;-
0713503008;Beuren, Eifel;189;-;-;-;162;27;-
0713503018;Büchel b Cochem;430;3;7;-;359;52;9
0713503030;Filz;31;-;-;-;28;3;-
0713503034;Gevenich;244;-;10;-;213;18;3
0713503035;Gillenbeuren;110;-;-;-;91;12;7
0713503048;Kliding;84;-;-;-;72;12;-
0713503057;Lutzerath;535;22;6;7;406;78;16
0713503078;Schmitt;65;-;-;-;52;10;3
0713503083;Ulmen;1005;12;30;6;880;71;6
0713503085;Urschmitt;105;-;3;-;48;47;7
0713503087;Wagenhausen;33;-;-;-;21;9;3
0713503089;Weiler b Gevenich, Eifel;118;-;-;-;96;22;-
0713503091;Wollmerath;85;-;-;-;71;10;4
0713503501;Bad Bertrich;376;22;13;-;322;16;3
0713504;Treis-Karden, Verbandsgem.;3447;3;56;15;2679;631;63
0713504009;Binningen;274;3;3;9;216;39;4
0713504014;Brieden;66;-;-;-;47;16;3
0713504016;Brohl;145;-;3;-;105;37;-
0713504022;Dünfus;101;-;-;-;80;18;3
0713504031;Forst (Eifel);157;-;3;-;100;51;3
0713504044;Kail;128;-;-;-;98;27;3
0713504050;Lahr, Hunsrück;80;-;-;-;57;23;-
0713504053;Lieg;185;-;-;-;143;42;-
0713504056;Lütz;120;-;-;-;95;22;3
0713504062;Möntenich;48;-;-;-;45;3;-
0713504063;Mörsdorf, Hunsrück;262;-;6;-;226;23;7
0713504065;Moselkern;237;-;-;-;175;59;3
0713504066;Müden (Mosel);275;-;17;3;212;40;3
0713504072;Pommern;195;-;-;-;151;38;6
0713504075;Roes;215;-;-;-;174;31;10
0713504082;Treis-Karden;834;-;18;3;654;147;12
0713504094;Zilshausen;125;-;6;-;101;15;3
0713505;Zell (Mosel), Verbandsgem.;6274;36;75;28;4986;1023;126
0713505001;Alf;352;-;10;-;274;62;6
0713505003;Altlay;192;-;-;3;157;29;3
0713505004;Altstrimmig;155;-;-;-;126;29;-
0713505010;Blankenrath;493;9;3;3;454;24;-
0713505013;Briedel;501;7;-;-;341;138;15
0713505019;Bullay;548;7;3;6;494;34;4
0713505032;Forst (Hunsrück);28;-;-;-;18;10;-
0713505037;Grenderich;177;-;-;-;145;32;-
0713505039;Haserich;89;-;6;-;54;23;6
0713505041;Hesweiler;45;-;-;-;35;7;3
0713505054;Liesenich;126;-;4;-;104;12;6
0713505061;Mittelstrimmig;181;-;-;-;153;25;3
0713505064;Moritzheim;58;-;3;-;46;6;3
0713505068;Neef;227;-;3;3;160;55;6
0713505070;Panzweiler;83;-;3;3;65;9;3
0713505071;Peterswald-Löffelscheid;254;-;6;-;227;18;3
0713505073;Pünderich;382;-;3;-;301;72;6
0713505074;Reidenhausen;73;-;-;-;66;7;-
0713505076;Sankt Aldegund;258;7;3;-;169;69;10
0713505077;Schauren b Blankenrath;166;3;3;-;111;46;3
0713505080;Sosberg;71;-;-;-;50;21;-
0713505081;Tellig;127;-;-;-;112;12;3
0713505088;Walhausen;72;-;-;-;69;3;-
0713505092;Zell (Mosel);1616;3;25;10;1255;280;43
0713700003;Andernach, verbandsfr. Gemeinde;7772;134;1118;35;6115;340;30
0713700068;Mayen, verbandsfr. Gemeinde;5381;261;754;12;3913;411;30
0713700203;Bendorf, Rhein, verbandsfr. Gemeinde;4285;49;793;3;3100;304;36
0713701;Pellenz, Verbandsgem.;5377;112;390;27;4330;459;59
0713701056;Kretz;230;6;29;-;167;25;3
0713701057;Kruft;1407;36;113;4;1093;137;24
0713701081;Nickenich;1244;32;59;13;1055;78;7
0713701088;Plaidt;1799;29;174;4;1450;126;16
0713701096;Saffig;697;9;15;6;565;93;9
0713702;Maifeld, Verbandsgem.;8241;132;306;46;6735;928;94
0713702023;Einig;56;-;-;-;47;6;3
0713702027;Gappenach;122;-;6;3;95;15;3
0713702029;Gering;150;-;-;6;124;17;3
0713702030;Gierschnach;100;-;3;3;88;6;-
0713702041;Kalt;167;3;-;-;136;28;-
0713702048;Kerben;164;-;6;3;146;6;3
0713702053;Kollig;202;3;3;-;162;30;4
0713702065;Lonnig;403;3;0;3;362;32;3
0713702070;Mertloch;496;6;18;3;403;60;6
0713702080;Naunheim;176;3;3;-;136;31;3
0713702086;Ochtendung;1763;19;97;9;1441;176;21
0713702087;Pillig;184;3;3;-;149;26;3
0713702089;Polch;2016;47;107;9;1669;168;16
0713702095;Rüber;303;6;13;4;232;38;10
0713702102;Trimbs;241;15;3;-;182;37;4
0713702112;Welling;340;9;20;3;259;49;-
0713702114;Wierschem;137;-;-;-;128;9;-
0713702501;Münstermaifeld;1221;15;24;0;976;194;12
0713703;Vordereifel, Verbandsgem.;6491;59;172;31;5383;761;85
0713703001;Acht;34;-;-;-;30;4;-
0713703004;Anschau;117;-;-;-;114;3;-
0713703006;Arft;116;-;-;-;84;28;4
0713703007;Baar;315;-;6;3;265;38;3
0713703011;Bermel;152;-;-;-;120;26;6
0713703014;Boos, Eifel;250;3;3;-;198;37;9
0713703019;Ditscheid;99;-;4;-;82;13;-
0713703025;Ettringen, Eifel;1019;22;30;6;831;117;13
0713703034;Hausten;158;-;6;-;126;26;-
0713703035;Herresbach;178;-;3;-;152;23;-
0713703036;Hirten;89;-;7;-;79;3;-
0713703043;Kehrig;435;-;3;-;356;69;7
0713703049;Kirchwald;409;-;6;3;364;36;-
0713703055;Kottenheim;1028;31;80;3;842;63;9
0713703060;Langenfeld, Eifel;293;-;3;-;258;32;-
0713703061;Langscheid;47;-;-;-;41;3;3
0713703063;Lind b Mayen;28;-;-;-;25;3;-
0713703066;Luxem;107;-;3;-;94;10;-
0713703074;Monreal;323;-;3;6;254;51;9
0713703077;Münk;106;-;3;-;94;9;-
0713703079;Nachtsheim;218;-;-;3;186;29;-
0713703092;Reudelsterz;137;-;-;7;104;26;-
0713703097;Sankt Johann b Mayen;356;3;3;-;319;28;3
0713703099;Siebenbach;84;-;3;-;66;12;3
0713703105;Virneburg;173;-;6;-;137;21;9
0713703110;Weiler b Mayen;201;-;-;-;150;48;3
0713703113;Welschenbach;19;-;-;-;12;3;4
0713704;Mendig, Verbandsgem.;4681;54;247;29;3917;393;41
0713704008;Bell;545;3;9;-;450;79;4
0713704069;Mendig;2855;44;197;19;2397;177;21
0713704093;Rieden, Eifel;518;-;3;3;423;76;13
0713704101;Thür;552;7;32;3;476;34;-
0713704106;Volkesfeld;211;-;6;4;171;27;3
0713705;Rhens, Verbandsgem.;2901;45;151;6;2470;207;22
0713705204;Brey;506;-;22;3;417;49;15
0713705221;Rhens;963;22;75;-;809;57;-
0713705223;Spay;640;4;25;-;559;52;-
0713705227;Waldesch;792;19;29;3;685;49;7
0713706;Untermosel, Verbandsgem.;6332;69;251;36;5084;814;78
0713706201;Alken;256;3;6;8;208;28;3
0713706205;Brodenbach;240;3;-;-;214;23;-
0713706206;Burgen, Mosel;322;3;6;3;259;45;6
0713706207;Dieblich;756;10;25;3;644;54;20
0713706208;Hatzenport;267;3;9;3;194;58;-
0713706212;Kobern-Gondorf;1076;10;49;3;817;188;9
0713706214;Löf;523;6;6;-;441;64;6
0713706215;Macken;140;-;3;-;118;19;-
0713706217;Niederfell;260;3;10;6;178;60;3
0713706219;Nörtershausen;405;-;17;4;355;23;6
0713706220;Oberfell;363;6;6;-;302;49;-
0713706230;Winningen, Mosel;852;6;60;3;673;104;6
0713706231;Wolken;358;7;36;-;297;15;3
0713706504;Lehmen;514;9;18;3;384;84;16
0713707;Vallendar, Verbandsgem.;4493;54;503;18;3609;285;24
0713707218;Niederwerth;410;3;33;-;345;29;-
0713707224;Urbar b Koblenz am Rhein;940;6;89;-;783;53;9
0713707226;Vallendar;2422;27;321;15;1880;167;12
0713707229;Weitersburg;721;18;60;3;601;36;3
0713708;Weißenthurm, Verbandsgem.;8972;96;1199;21;6821;767;68
0713708202;Bassenheim;969;3;25;3;871;58;9
0713708209;Kaltenengers;568;9;89;-;427;37;6
0713708211;Kettig;880;-;151;3;633;84;9
0713708216;Mülheim-Kärlich;3248;25;387;9;2444;357;26
0713708222;Sankt Sebastian;556;10;64;-;428;48;6
0713708225;Urmitz;1016;27;150;-;790;46;3
0713708228;Weißenthurm;1735;22;333;6;1228;137;9
0713800045;Neuwied, verbandsfr. Gemeinde;17310;276;3106;84;12862;934;48
0713801;Asbach, Verbandsgem.;7675;180;311;37;6548;534;65
0713801003;Asbach, Westerwald;2392;50;106;22;2055;152;7
0713801044;Neustadt (Wied);2264;41;91;12;1858;232;30
0713801077;Windhagen;1452;46;40;-;1298;61;7
0713801080;Buchholz (Westerwald);1567;43;74;3;1337;89;21
0713802;Bad Hönningen, Verbandsgem.;3730;53;271;9;3095;293;9
0713802004;Bad Hönningen;1719;24;153;9;1389;141;3
0713802024;Hammerstein;136;-;12;-;109;15;-
0713802038;Leutesdorf;654;7;46;-;562;39;-
0713802063;Rheinbrohl;1221;22;60;-;1035;98;6
0713803;Dierdorf, Verbandsgem.;3515;88;128;8;2977;284;30
0713803012;Dierdorf;1702;44;73;-;1445;128;12
0713803023;Großmaischeid;819;31;31;4;696;54;3
0713803031;Isenburg;241;-;9;-;196;30;6
0713803034;Kleinmaischeid;417;13;15;-;363;23;3
0713803069;Stebach;151;-;-;-;117;31;3
0713803201;Marienhausen;185;-;-;4;160;18;3
0713804;Linz am Rhein, Verbandsgem.;6168;134;508;29;5014;445;38
0713804009;Dattenberg;566;12;38;10;438;62;6
0713804037;Leubsdorf, Rhein;665;16;29;-;530;87;3
0713804041;Linz am Rhein;1762;34;302;4;1346;73;3
0713804055;Ockenfels;367;3;25;-;316;15;8
0713804068;St. Katharinen (Landkreis Neuwied);1137;25;42;9;959;90;12
0713804075;Vettelschoß;1164;32;49;6;987;87;3
0713804501;Kasbach-Ohlenberg;507;12;23;-;438;31;3
0713805;Puderbach, Verbandsgem.;5081;88;178;13;4384;393;25
0713805011;Dernbach b Dierdorf;314;7;19;-;279;9;-
0713805013;Döttesfeld;288;0;12;3;239;25;9
0713805014;Dürrholz;466;10;9;-;420;27;-
0713805025;Hanroth;206;3;3;-;191;9;-
0713805027;Harschbach;130;-;-;4;116;10;-
0713805040;Linkenbach;167;6;6;-;135;20;-
0713805048;Niederhofen;124;-;3;-;101;20;-
0713805050;Niederwambach;183;3;6;-;146;25;3
0713805052;Oberdreis;345;-;3;3;303;33;3
0713805057;Puderbach;778;10;43;-;663;59;3
0713805058;Ratzert;97;-;3;-;68;26;-
0713805059;Raubach;611;7;16;-;558;30;-
0713805064;Rodenbach bei Puderbach;254;3;3;-;204;40;4
0713805070;Steimel;451;27;18;-;391;12;3
0713805074;Urbach, Westerwald;454;0;25;-;405;24;-
0713805078;Woldert;213;12;9;3;165;24;-
0713806;Rengsdorf, Verbandsgem.;5165;106;264;15;4502;265;13
0713806002;Anhausen;447;3;6;6;405;24;3
0713806005;Bonefeld;302;3;12;-;261;26;-
0713806015;Ehlscheid;383;4;18;3;348;10;-
0713806026;Hardert;234;13;9;-;191;21;-
0713806030;Hümmerich;254;12;6;-;207;22;7
0713806036;Kurtscheid;339;6;10;3;308;12;-
0713806042;Meinborn;182;6;6;-;161;9;-
0713806043;Melsbach;688;14;75;3;583;13;-
0713806053;Oberhonnefeld-Gierend;329;3;25;-;281;20;-
0713806054;Oberraden;213;-;15;-;185;13;-
0713806061;Rengsdorf;747;15;23;-;674;32;3
0713806066;Rüscheid;268;9;6;-;241;12;-
0713806071;Straßenhaus;552;15;36;-;471;30;-
0713806072;Thalhausen;227;3;17;-;186;21;-
0713807;Unkel, Verbandsgem.;4003;67;340;9;3441;118;28
0713807008;Bruchhausen;290;6;-;3;268;13;-
0713807019;Erpel;848;22;93;-;709;15;9
0713807062;Rheinbreitbach;1421;21;81;3;1270;36;10
0713807073;Unkel;1444;18;166;3;1194;54;9
0713808;Waldbreitbach, Verbandsgem.;3143;92;116;16;2636;256;27
0713808006;Breitscheid Kr Neuwied;887;24;30;9;734;76;14
0713808007;Hausen (Wied);529;35;10;4;437;43;-
0713808010;Datzeroth;91;-;7;-;77;7;-
0713808047;Niederbreitbach;526;12;16;-;423;75;-
0713808065;Roßbach, Wied;509;15;19;3;442;27;3
0713808076;Waldbreitbach;601;6;34;-;523;28;10
0714000501;Boppard, verbandsfr. Gemeinde;4730;84;236;3;3980;401;26
0714002;Emmelshausen, Verbandsgem.;4939;51;127;13;4332;391;25
0714002005;Badenhard;62;-;-;-;59;3;-
0714002014;Bickenbach, Hunsrück;139;-;-;-;99;37;3
0714002016;Birkheim;45;-;-;-;42;3;-
0714002031;Dörth;178;-;-;-;170;8;-
0714002036;Emmelshausen;1311;13;74;3;1182;35;4
0714002043;Gondershausen;480;3;12;-;412;47;6
0714002045;Halsenbach;433;6;6;4;389;28;-
0714002047;Hausbay;73;-;-;-;56;17;-
0714002060;Hungenroth;91;-;-;3;82;6;-
0714002063;Karbach, Hunsrück;185;3;-;-;169;13;-
0714002075;Kratzenburg;151;7;-;-;138;6;-
0714002084;Leiningen;268;3;3;-;213;46;3
0714002087;Lingerhahn;171;3;-;-;148;20;-
0714002089;Maisborn;58;-;4;-;48;6;-
0714002093;Mermuth;102;-;-;-;93;9;-
0714002098;Mühlpfad;26;-;-;-;20;6;-
0714002102;Ney;131;-;-;-;115;16;-
0714002108;Niedert;54;-;-;-;45;6;3
0714002110;Norath;165;7;-;-;147;11;-
0714002117;Pfalzfeld;264;3;18;3;212;25;3
0714002140;Schwall;111;-;7;-;104;-;-
0714002149;Thörlingen;48;-;-;-;45;3;-
0714002156;Utzenhain;49;-;-;-;46;3;-
0714002201;Beulich;203;3;-;-;178;19;3
0714002205;Morshausen;141;-;3;-;120;18;-
0714003;Kastellaun, Verbandsgem.;4928;21;68;26;4303;469;41
0714003001;Alterkülz;158;-;9;-;122;24;3
0714003009;Bell (Hunsrück);538;3;3;7;452;73;-
0714003010;Beltheim;762;3;12;3;632;100;12
0714003018;Braunshorn;240;3;3;3;199;32;-
0714003021;Buch, Hunsrück;340;-;-;-;322;18;-
0714003042;Gödenroth;175;-;-;-;165;6;4
0714003046;Hasselbach, Hunsrück;70;-;6;-;61;3;-
0714003055;Hollnich;120;-;-;-;114;6;-
0714003064;Kastellaun;1342;12;29;10;1223;58;10
0714003073;Korweiler;38;-;-;3;23;9;3
0714003095;Michelbach, Hunsrück;68;-;-;-;59;9;-
0714003131;Roth, Rhein-Hunsrück-Kr;86;-;-;-;64;19;3
0714003147;Spesenroth;47;-;-;-;47;-;-
0714003153;Uhler;144;-;-;-;115;29;-
0714003202;Dommershausen;402;-;-;-;359;40;3
0714003204;Mastershausen;398;-;6;-;346;43;3
0714004;Kirchberg (Hunsrück), Verbandsgem.;6683;126;86;40;5622;733;76
0714004006;Bärenbach b Simmern, Hunsrück;136;-;-;-;109;27;-
0714004007;Belg;42;3;-;-;30;6;3
0714004024;Büchenbeuren;464;4;3;-;409;45;3
0714004028;Dickenschied;231;3;-;-;222;6;-
0714004029;Dill;69;-;-;-;53;16;-
0714004030;Dillendorf;270;-;3;3;244;20;-
0714004040;Gehlweiler;105;-;3;-;88;10;4
0714004041;Gemünden, Hunsrück;484;-;6;3;398;62;15
0714004044;Hahn;61;-;-;-;44;13;4
0714004048;Hecken;42;-;-;-;35;3;4
0714004049;Heinzenbach;141;3;-;-;125;13;-
0714004050;Henau;88;-;-;-;73;15;-
0714004053;Hirschfeld (Hunsrück);131;-;-;3;104;24;-
0714004062;Kappel;158;-;-;-;146;9;3
0714004067;Kirchberg (Hunsrück);1148;54;43;3;964;84;0
0714004071;Kludenbach;46;-;-;-;36;7;3
