YEAR;U_TOP_CEIL_CONT_MIN;U_TOP_CEIL_CONT_MAX;U_TOP_CEIL_CONT
1880;1,2;1,6;1,4
1900;1,2;1,6;1,4
1930;1,2;1,6;1,4
1946;1,2;1,6;1,4
1952;1,3;2,1;1,7
1955;1,3;2,1;1,7
1961;0,8;1,5;1,15
1965;0,8;1,5;1,15
1972;0,5;1,1;0,8
1975;0,5;1,1;0,8
1980;0,45;0,76;0,605
1982;0,45;0,76;0,605
1988;0,3;0,56;0,43
1991;0,3;0,56;0,43
1997;0,22;0,3;0,26
2005;0,22;0,3;0,26
2010;0,15;0,3;0,225
2015;0,10;0,2;0,15
2020;0,10;0,2;0,15
2050;0,10;0,2;0,15
